id,locus_1,locus_2,locus_3,locus_4,locus_5,locus_6,locus_7,locus_8,locus_9,locus_10,locus_11,locus_12,locus_13,locus_14,locus_15
sample_126,121,236,113,372,424,107,210,172,100,80,125,242,209,268,124
sample_127,129,242,109,366,426,110,210,172,109,82,127,233,213,272,122
sample_128,125,239,109,372,424,104,215,168,106,80,127,242,213,264,122
sample_129,129,242,105,364,428,104,210,168,106,82,127,242,213,272,122
sample_130,129,245,105,370,422,101,215,164,103,82,129,239,213,264,124
sample_131,121,239,105,370,426,98,210,168,100,78,127,239,213,262,122
sample_132,119,239,105,372,424,104,210,164,106,86,127,239,209,268,124
sample_133,127,242,105,370,428,101,210,159,109,82,125,242,213,264,122
sample_134,119,239,113,368,422,104,215,172,106,84,125,236,213,268,124
sample_135,125,242,105,372,426,104,210,164,106,82,129,242,205,262,122
sample_136,119,233,101,372,424,104,210,168,97,80,123,239,209,268,124
sample_137,123,236,105,372,424,104,215,159,106,84,119,242,209,268,124
sample_138,125,233,105,366,424,107,210,172,106,86,123,239,209,268,124
sample_139,127,245,105,366,428,98,210,164,103,84,129,242,213,264,124
sample_140,127,239,101,372,428,101,210,168,109,82,127,245,213,268,122
sample_141,119,233,105,361,422,110,210,176,100,84,119,242,201,270,122
sample_142,129,242,105,364,426,104,210,172,112,82,127,242,209,272,122
sample_143,121,239,109,372,426,107,215,172,100,82,129,239,209,262,124
sample_144,129,236,109,372,422,101,215,172,100,82,125,239,205,261,124
sample_145,123,242,109,372,424,101,215,176,112,80,123,236,213,266,124
sample_146,119,233,105,361,422,110,210,172,97,82,119,245,205,270,124
sample_147,127,239,113,372,424,101,215,159,106,78,127,239,205,261,124
sample_148,119,236,109,362,422,107,210,176,97,82,119,245,201,270,124
sample_149,127,245,105,364,428,107,210,172,109,80,129,242,213,272,124
sample_150,127,245,105,372,428,104,215,164,109,82,127,245,209,272,124
sample_151,129,242,105,364,428,104,210,164,106,82,127,233,213,270,122
sample_152,129,239,113,368,426,104,215,164,97,78,125,236,205,264,124
sample_153,125,236,105,366,424,107,215,176,109,82,119,242,209,268,122
sample_154,121,233,105,361,422,110,210,176,103,84,119,245,201,270,124
sample_155,119,239,109,372,424,107,215,164,103,80,119,236,209,268,122
sample_156,121,236,105,372,424,107,210,172,106,86,121,242,209,270,122
sample_157,127,245,109,370,424,107,210,164,106,82,129,242,213,270,122
sample_158,125,233,109,372,428,101,215,172,106,80,129,233,213,261,124
sample_159,125,236,105,372,424,107,210,164,106,80,125,233,209,268,124
sample_160,125,242,101,370,428,110,210,164,112,84,127,245,209,272,122
sample_161,123,239,105,372,424,101,215,172,100,78,127,239,209,261,124
sample_162,121,239,113,370,428,101,215,168,103,80,127,239,209,262,122
sample_163,125,233,109,370,428,104,210,172,109,82,127,245,213,270,122
sample_164,125,233,105,364,428,107,210,159,106,80,127,242,209,272,122
sample_165,129,239,105,370,426,104,215,164,103,78,129,239,209,262,124
sample_166,127,239,109,370,426,104,215,164,97,80,125,239,209,261,124
sample_167,121,233,105,361,422,107,210,176,97,84,119,245,201,272,122
sample_168,127,239,109,372,428,98,215,168,100,80,127,245,205,261,124
sample_169,121,236,105,372,424,107,210,172,109,82,127,236,209,270,122
sample_170,123,245,105,368,426,101,215,172,103,80,127,239,209,262,124
sample_171,125,239,105,364,428,104,210,164,106,82,127,245,213,266,122
sample_172,127,245,109,364,428,107,210,159,109,80,127,242,209,262,122
sample_173,125,239,109,372,428,101,215,172,97,82,127,239,205,262,124
sample_174,125,239,109,372,428,101,215,164,100,80,125,239,213,261,124
sample_175,127,239,109,372,422,104,215,172,100,82,125,239,213,261,124
sample_176,129,242,105,362,428,98,210,164,109,82,127,239,205,272,122
sample_177,127,245,105,372,428,104,210,168,109,82,127,242,209,266,122
sample_178,129,239,105,372,428,101,215,172,100,80,129,239,205,261,124
sample_179,123,233,113,372,428,101,215,164,100,78,123,239,209,264,124
sample_180,119,233,113,372,424,107,210,172,103,86,123,236,209,268,124
sample_181,127,242,101,364,428,104,210,164,109,82,129,233,213,268,122
sample_182,127,236,105,370,426,110,210,164,109,82,127,245,205,272,122
sample_183,125,239,105,370,422,104,215,172,106,78,125,239,205,261,122
sample_184,129,233,105,372,426,104,215,168,106,80,125,239,205,261,124
sample_185,129,245,109,372,428,104,210,164,112,80,127,245,213,262,122
sample_186,123,239,105,372,424,107,215,164,109,84,123,236,209,268,124
sample_187,125,239,101,368,428,98,210,164,100,82,127,233,209,270,122
sample_188,125,245,105,368,428,104,210,172,109,80,127,239,209,272,122
sample_189,123,239,113,370,428,107,215,168,100,78,129,236,205,262,124
sample_190,129,242,105,364,428,107,210,159,106,82,125,245,213,262,122
sample_191,129,239,105,372,422,107,215,176,97,78,123,239,205,261,124
sample_192,121,239,105,372,424,104,215,172,106,86,125,239,209,268,124
sample_193,121,233,105,362,422,110,210,176,100,84,119,245,201,270,124
sample_194,119,239,105,372,424,104,210,172,106,82,121,239,209,268,122
sample_195,129,239,109,372,428,101,215,176,100,78,127,236,205,264,122
sample_196,125,233,105,370,424,98,215,172,106,80,127,239,209,264,124
sample_197,119,236,109,361,422,110,210,176,97,84,119,245,205,270,124
sample_198,129,239,113,368,422,98,215,172,100,82,127,239,205,261,124
sample_199,125,239,105,372,424,101,215,159,100,78,129,239,213,261,124
sample_200,127,245,105,372,428,104,215,168,109,82,129,245,213,266,122
sample_201,119,233,105,361,422,110,210,176,103,84,119,245,201,270,122
sample_202,125,233,101,368,424,107,210,164,106,86,121,242,209,268,122
sample_203,125,245,105,364,428,107,210,164,106,82,127,245,213,268,122
sample_204,129,245,109,366,428,98,210,168,106,82,129,245,209,272,122
sample_205,121,239,113,372,426,101,215,172,106,78,125,239,209,264,124
sample_206,121,233,105,361,422,110,210,172,100,84,119,245,201,270,124
sample_207,119,236,105,361,422,110,210,176,97,84,119,245,205,272,124
sample_208,125,239,113,370,428,98,210,172,106,82,123,239,205,261,124
sample_209,129,236,101,370,424,110,210,164,109,82,125,242,213,272,124
sample_210,119,233,109,372,424,107,210,172,100,86,123,236,209,268,124
sample_211,119,236,105,362,422,110,210,176,103,84,119,245,201,272,122
sample_212,121,239,109,372,426,107,215,176,106,78,127,239,205,262,122
sample_213,125,239,105,364,428,104,215,164,103,82,125,233,213,270,122
sample_214,121,242,105,372,424,107,210,172,106,86,125,236,209,266,124
sample_215,119,233,105,362,422,110,210,176,103,84,119,245,201,270,124
sample_216,129,239,113,370,422,101,215,168,103,78,125,239,213,261,124
sample_217,127,239,109,370,428,104,215,164,103,80,123,239,205,264,124
sample_218,125,245,105,370,428,107,210,168,106,82,127,245,213,266,122
sample_219,127,245,101,368,424,104,210,159,106,80,129,242,213,262,122
sample_220,123,242,105,372,424,107,215,164,106,82,125,236,209,270,124
sample_221,129,233,105,370,422,101,215,164,103,82,125,245,205,264,124
sample_222,127,242,105,368,426,98,210,172,103,82,127,233,205,261,124
sample_223,127,245,109,364,424,107,210,164,103,82,125,245,209,272,122
sample_224,129,236,105,372,428,104,210,164,106,82,129,239,213,266,122
sample_225,119,236,105,372,424,101,215,168,109,82,125,239,213,266,124
sample_226,119,239,109,372,422,110,210,172,100,86,129,236,209,268,122
sample_227,121,233,105,361,422,110,210,176,97,84,119,245,201,272,124
sample_228,125,245,109,364,424,101,210,172,109,80,127,239,209,272,122
sample_229,127,239,105,368,428,101,215,164,100,82,129,239,205,262,122
sample_230,125,239,105,370,426,101,215,168,97,82,127,239,209,261,124
sample_231,129,233,105,370,422,104,215,164,103,78,127,239,209,261,124
sample_232,123,236,113,372,424,107,210,172,106,84,127,236,209,266,124
sample_233,127,245,101,372,424,101,210,164,112,82,129,236,209,262,122
sample_234,123,233,109,372,424,101,210,172,106,84,123,236,213,270,122
sample_235,119,236,113,372,424,104,215,176,106,84,121,239,209,268,124
sample_236,121,242,105,368,424,110,210,172,97,86,123,239,209,268,124
sample_237,121,239,109,372,424,107,210,172,97,82,121,233,213,268,124
sample_238,119,239,105,372,424,98,210,164,106,86,119,239,209,270,124
sample_239,121,236,105,370,424,98,215,172,106,80,125,239,209,268,122
sample_240,127,242,105,364,428,107,210,164,112,82,129,242,213,272,122
sample_241,119,242,105,372,424,104,210,164,106,80,123,236,213,268,124
sample_242,127,245,105,372,428,104,215,168,97,80,127,242,209,272,122
sample_243,125,236,105,368,424,107,210,172,109,80,121,239,209,266,122
sample_244,125,245,109,362,426,107,210,164,106,82,129,245,209,272,124
sample_245,125,236,105,372,424,98,215,172,106,86,127,236,209,268,122
sample_246,119,233,105,361,422,107,210,176,100,84,119,245,201,270,124
sample_247,121,239,113,372,424,107,210,168,112,82,125,242,209,270,122
sample_248,119,242,105,372,424,110,210,164,106,86,123,236,209,268,124
sample_249,119,236,113,372,424,98,210,172,100,86,125,236,213,268,124
sample_250,119,236,105,362,422,110,210,176,97,84,119,242,201,270,124
sample_251,121,236,113,372,424,107,210,172,100,86,125,236,213,268,122
sample_252,129,239,113,370,426,98,215,168,100,78,127,239,205,262,124
sample_253,125,233,101,364,426,107,210,164,109,82,127,242,213,272,122
sample_254,127,239,113,372,422,104,215,172,100,80,123,239,209,261,124
sample_255,121,236,113,372,424,101,210,172,106,80,121,236,209,268,122
sample_256,119,236,109,372,424,110,215,168,109,86,121,239,209,268,124
sample_257,121,233,105,362,422,110,210,176,97,84,121,245,201,270,124
sample_258,127,242,109,372,428,104,215,164,106,82,127,242,209,272,122
sample_259,119,233,105,361,422,110,210,176,97,84,119,245,201,272,124
sample_260,121,236,105,372,424,107,210,159,100,86,125,233,209,266,124
sample_261,127,236,105,370,426,101,215,168,97,82,125,242,209,261,124
sample_262,119,239,101,372,424,101,210,159,106,80,121,239,209,270,124
sample_263,129,242,109,364,424,107,210,164,109,82,125,236,209,270,122
sample_264,127,239,113,372,424,110,210,172,103,86,125,239,209,268,124
sample_265,121,239,105,372,424,104,210,164,100,80,129,233,209,268,124
sample_266,129,233,109,372,428,101,215,168,100,80,127,239,213,262,124
sample_267,121,236,113,372,424,107,210,164,112,84,121,239,209,268,124
sample_268,127,233,113,368,428,104,215,159,103,78,129,239,205,261,124
sample_269,119,236,105,361,422,110,210,176,97,82,121,245,201,270,122
sample_270,129,233,113,366,424,104,215,172,97,86,121,233,209,268,122
sample_271,119,233,105,372,424,107,215,176,112,84,123,236,209,270,122
sample_272,121,233,109,372,426,104,215,168,106,82,125,239,205,264,124
sample_273,125,245,101,372,428,101,210,168,109,82,125,245,213,268,122
sample_274,123,236,105,366,424,104,210,164,106,86,129,236,209,268,122
sample_275,127,245,105,370,428,104,210,159,106,82,127,233,213,272,124
sample_276,129,239,109,372,428,104,215,172,100,80,127,239,205,261,122
sample_277,125,245,101,372,428,104,210,164,109,82,127,245,213,264,122
sample_278,121,239,105,370,428,104,210,159,106,78,125,239,205,261,122
sample_279,125,233,105,372,426,104,215,168,100,82,125,239,213,262,124
sample_280,129,242,105,366,428,98,210,159,109,82,125,245,209,266,122
sample_281,129,245,105,372,426,110,210,164,100,82,125,245,213,262,122
sample_282,119,236,105,361,422,110,210,176,103,84,119,245,201,270,124
sample_283,123,233,113,372,424,107,210,164,106,86,121,236,213,268,122
sample_284,129,233,105,370,428,107,210,172,109,84,129,236,213,272,122
sample_285,119,233,109,361,422,107,210,176,97,84,119,245,201,272,124
sample_286,127,236,113,372,424,98,210,172,106,84,123,236,209,268,124
sample_287,119,236,101,372,424,107,210,172,106,86,123,236,209,268,124
sample_288,125,236,105,372,424,107,215,164,97,86,121,239,209,268,124
sample_289,125,239,109,372,428,104,210,168,103,82,125,239,209,264,124
sample_290,125,239,105,370,428,98,215,168,100,78,125,239,209,261,124
sample_291,119,236,113,368,422,110,210,164,97,84,121,242,213,268,124
sample_292,129,245,109,364,428,104,210,164,109,82,127,233,209,268,122
sample_293,129,245,109,364,426,104,210,164,109,82,125,245,209,264,122
sample_294,127,239,105,370,422,101,215,164,106,82,129,239,205,262,124
sample_295,119,236,105,361,422,110,210,172,103,84,119,245,201,270,122
sample_296,119,239,105,368,424,107,210,172,106,82,123,236,213,268,124
sample_297,129,236,101,366,424,107,210,176,109,86,123,242,213,268,124
sample_298,125,233,105,368,424,104,210,164,106,84,121,239,213,268,124
sample_299,119,236,105,372,424,104,215,172,103,84,125,239,213,266,124
sample_300,127,233,105,364,428,104,215,164,100,82,129,239,213,272,122
sample_301,121,239,109,370,426,101,215,164,106,82,125,239,205,262,124
sample_302,125,242,101,372,426,107,215,159,106,82,127,245,213,272,122
sample_303,127,242,109,362,428,101,210,164,109,82,125,242,213,272,122
sample_304,129,236,109,368,424,107,210,176,106,86,121,239,209,270,124
sample_305,125,239,109,372,426,107,215,164,106,82,125,239,213,262,122
sample_306,119,236,105,361,422,110,210,176,97,84,119,245,201,270,122
sample_307,125,233,105,372,424,110,215,172,97,80,125,236,213,268,124
sample_308,121,239,109,370,422,101,215,172,106,80,129,239,209,261,124
sample_309,127,245,101,372,428,104,210,164,109,82,125,245,213,272,122
sample_310,125,242,101,364,424,104,215,168,106,82,127,233,209,272,124
sample_311,121,233,105,361,422,110,210,176,100,84,119,245,201,272,124
sample_312,125,245,105,364,426,104,210,164,100,82,127,242,213,268,122
sample_313,125,239,105,370,428,101,215,159,103,80,129,239,205,264,124
sample_314,123,239,113,372,422,104,215,172,109,86,123,236,209,268,124
sample_315,127,242,105,372,426,104,210,168,109,80,127,245,213,270,122
sample_316,125,239,113,370,428,107,215,168,100,82,125,233,209,262,122
sample_317,127,239,109,370,428,104,215,164,106,80,129,239,205,264,124
sample_318,127,236,105,368,426,101,215,172,97,82,125,239,205,262,122
sample_319,127,245,101,372,428,107,210,164,112,84,129,242,213,272,122
sample_320,125,233,101,364,428,104,210,164,106,82,127,245,213,266,122
sample_321,127,239,105,372,424,101,215,168,97,80,125,245,209,262,122
sample_322,119,233,105,361,422,110,210,176,100,84,119,245,201,270,124
sample_323,127,239,113,372,422,107,215,176,112,82,123,239,209,268,124
sample_324,127,233,101,368,428,107,210,164,109,82,125,239,209,264,122
sample_325,129,242,105,368,424,104,215,164,106,80,129,236,213,262,122
sample_326,123,239,105,372,424,104,215,168,100,78,127,239,209,261,124
sample_327,123,239,105,370,428,104,215,172,106,78,125,245,205,261,124
sample_328,121,239,113,372,424,98,210,168,97,82,121,236,213,268,122
sample_329,127,242,109,364,428,104,210,164,109,84,125,245,213,262,124
sample_330,123,239,113,370,424,104,215,172,100,78,127,239,209,264,124
sample_331,127,245,101,372,426,107,210,164,103,82,129,236,213,272,122
sample_332,127,236,105,366,424,107,215,172,106,86,123,236,209,268,124
sample_333,121,236,105,372,424,104,215,159,103,86,123,233,209,268,122
sample_334,123,233,105,372,424,104,210,176,106,84,125,239,209,268,124
sample_335,129,239,105,368,426,104,215,172,106,82,125,239,209,261,124
sample_336,129,233,101,364,428,104,210,164,112,82,129,245,213,264,122
sample_337,127,245,109,370,428,104,215,168,100,78,125,239,209,261,124
sample_338,119,239,113,372,424,104,210,176,106,84,119,236,209,268,124
sample_339,125,233,109,364,428,101,210,164,97,82,127,245,209,272,122
sample_340,119,233,109,361,422,110,210,176,97,84,121,245,205,270,124
sample_341,127,233,101,364,428,104,210,164,106,82,129,239,209,264,122
sample_342,123,236,105,372,424,101,210,176,106,86,123,239,209,266,124
sample_343,125,239,109,372,422,101,215,168,100,82,125,233,209,262,124
sample_344,119,233,105,361,422,110,210,172,103,84,121,245,201,270,124
sample_345,129,239,105,364,428,107,210,164,109,84,125,245,209,270,122
sample_346,127,245,101,362,428,101,210,164,100,82,125,242,205,272,122
sample_347,127,239,105,372,422,101,215,172,100,82,127,239,209,261,124
sample_348,125,233,105,370,428,104,215,168,106,80,125,239,209,261,122
sample_349,127,245,105,372,426,104,215,164,100,80,125,239,213,261,124
sample_350,127,242,101,364,426,98,210,164,109,82,125,242,209,266,124
sample_351,123,233,105,366,424,104,210,172,109,82,127,242,209,268,124
sample_352,129,239,109,372,426,101,215,172,97,82,127,236,205,261,124
sample_353,129,239,109,364,428,104,210,164,109,82,127,242,213,272,122
sample_354,125,242,105,364,428,107,210,164,106,82,127,242,213,264,122
sample_355,129,242,105,368,428,98,215,172,109,80,125,239,213,268,122
sample_356,119,233,105,361,422,110,210,176,103,84,121,245,201,270,124
sample_357,125,245,105,372,428,104,215,164,100,82,127,236,205,264,122
sample_358,123,233,105,372,424,110,210,172,103,82,123,239,209,268,124
sample_359,121,233,109,366,424,107,210,172,109,82,123,233,209,268,124
sample_360,121,233,105,361,422,110,210,176,97,84,119,242,201,270,122
sample_361,121,236,101,372,424,107,210,164,97,86,121,233,209,268,124
sample_362,123,239,109,372,422,98,210,176,100,84,121,239,209,268,124
sample_363,125,239,105,372,424,107,215,164,106,86,123,233,213,268,124
sample_364,121,236,113,372,424,104,210,172,103,80,119,236,209,268,122
sample_365,129,239,109,370,428,104,215,168,106,80,127,239,209,261,124
sample_366,119,242,105,366,424,104,210,172,109,82,125,236,209,268,124
sample_367,125,239,109,370,426,101,215,168,106,78,127,239,209,264,122
sample_368,125,236,101,372,424,101,215,172,109,86,123,233,209,268,124
sample_369,129,245,105,364,428,104,210,159,103,84,127,239,209,272,122
sample_370,121,242,105,372,424,101,215,176,106,82,127,236,213,268,122
sample_371,129,242,101,368,426,110,215,164,109,80,125,245,209,264,124
sample_372,119,233,105,372,424,104,210,172,106,86,121,239,209,268,124
sample_373,121,239,105,372,424,107,210,172,109,86,121,236,213,268,124
sample_374,121,236,105,372,424,107,210,164,106,86,123,242,209,268,124
sample_375,123,239,109,372,424,107,210,164,106,84,125,239,209,268,124
sample_376,119,236,105,366,424,107,215,164,100,86,123,242,209,268,122
sample_377,125,245,105,362,428,107,210,164,103,82,127,233,213,272,122
sample_378,125,239,109,368,426,107,215,172,97,78,125,239,209,264,124
sample_379,121,233,105,361,422,107,210,176,97,84,119,245,205,270,124
sample_380,119,233,105,372,424,107,210,164,112,82,125,239,209,268,124
sample_381,127,245,105,364,426,107,210,164,109,82,129,242,213,268,122
sample_382,121,233,105,361,422,110,210,176,97,82,119,242,201,270,124
sample_383,127,236,113,368,422,98,215,168,100,80,125,239,213,262,124
sample_384,129,239,109,372,426,101,215,168,100,78,125,239,209,264,122
sample_385,123,239,105,372,428,101,215,168,100,78,127,239,209,262,124
sample_386,121,239,105,372,424,110,210,176,103,86,123,233,209,268,124
sample_387,127,239,113,372,424,101,215,172,100,80,125,239,205,261,124
sample_388,121,236,113,372,424,107,210,164,106,86,123,236,209,268,124
sample_389,125,245,101,364,424,104,210,164,109,80,125,245,213,272,122
sample_390,129,239,101,372,428,104,210,159,109,82,129,233,213,272,124
sample_391,127,242,105,364,428,98,210,164,109,82,129,242,213,272,122
sample_392,125,239,113,370,424,101,215,168,100,82,127,242,213,262,124
sample_393,121,233,109,361,422,110,210,176,97,84,121,245,201,270,122
sample_394,125,236,105,368,426,101,215,164,100,78,125,239,209,261,124
sample_395,121,233,113,372,424,107,210,172,106,82,125,233,209,268,124
