id,breed_1,breed_2,breed_3,breed_4
sample_221,0.25,0.25,0.25,0.25
sample_222,0.25,0.25,0.25,0.25
sample_223,0.25,0.25,0.25,0.25
sample_224,0.25,0.25,0.25,0.25
sample_225,0.25,0.25,0.25,0.25
sample_226,0.25,0.25,0.25,0.25
sample_227,0.25,0.25,0.25,0.25
sample_228,0.25,0.25,0.25,0.25
sample_229,0.25,0.25,0.25,0.25
sample_230,0.25,0.25,0.25,0.25
sample_231,0.25,0.25,0.25,0.25
sample_232,0.25,0.25,0.25,0.25
sample_233,0.25,0.25,0.25,0.25
sample_234,0.25,0.25,0.25,0.25
sample_235,0.25,0.25,0.25,0.25
sample_236,0.25,0.25,0.25,0.25
sample_237,0.25,0.25,0.25,0.25
sample_238,0.25,0.25,0.25,0.25
sample_239,0.25,0.25,0.25,0.25
sample_240,0.25,0.25,0.25,0.25
sample_241,0.25,0.25,0.25,0.25
sample_242,0.25,0.25,0.25,0.25
sample_243,0.25,0.25,0.25,0.25
sample_244,0.25,0.25,0.25,0.25
sample_245,0.25,0.25,0.25,0.25
sample_246,0.25,0.25,0.25,0.25
sample_247,0.25,0.25,0.25,0.25
sample_248,0.25,0.25,0.25,0.25
sample_249,0.25,0.25,0.25,0.25
sample_250,0.25,0.25,0.25,0.25
sample_251,0.25,0.25,0.25,0.25
sample_252,0.25,0.25,0.25,0.25
sample_253,0.25,0.25,0.25,0.25
sample_254,0.25,0.25,0.25,0.25
sample_255,0.25,0.25,0.25,0.25
sample_256,0.25,0.25,0.25,0.25
sample_257,0.25,0.25,0.25,0.25
sample_258,0.25,0.25,0.25,0.25
sample_259,0.25,0.25,0.25,0.25
sample_260,0.25,0.25,0.25,0.25
sample_261,0.25,0.25,0.25,0.25
sample_262,0.25,0.25,0.25,0.25
sample_263,0.25,0.25,0.25,0.25
sample_264,0.25,0.25,0.25,0.25
sample_265,0.25,0.25,0.25,0.25
sample_266,0.25,0.25,0.25,0.25
sample_267,0.25,0.25,0.25,0.25
sample_268,0.25,0.25,0.25,0.25
sample_269,0.25,0.25,0.25,0.25
sample_270,0.25,0.25,0.25,0.25
sample_271,0.25,0.25,0.25,0.25
sample_272,0.25,0.25,0.25,0.25
sample_273,0.25,0.25,0.25,0.25
sample_274,0.25,0.25,0.25,0.25
sample_275,0.25,0.25,0.25,0.25
sample_276,0.25,0.25,0.25,0.25
sample_277,0.25,0.25,0.25,0.25
sample_278,0.25,0.25,0.25,0.25
sample_279,0.25,0.25,0.25,0.25
sample_280,0.25,0.25,0.25,0.25
sample_281,0.25,0.25,0.25,0.25
sample_282,0.25,0.25,0.25,0.25
sample_283,0.25,0.25,0.25,0.25
sample_284,0.25,0.25,0.25,0.25
sample_285,0.25,0.25,0.25,0.25
sample_286,0.25,0.25,0.25,0.25
sample_287,0.25,0.25,0.25,0.25
sample_288,0.25,0.25,0.25,0.25
sample_289,0.25,0.25,0.25,0.25
sample_290,0.25,0.25,0.25,0.25
sample_291,0.25,0.25,0.25,0.25
sample_292,0.25,0.25,0.25,0.25
sample_293,0.25,0.25,0.25,0.25
sample_294,0.25,0.25,0.25,0.25
sample_295,0.25,0.25,0.25,0.25
sample_296,0.25,0.25,0.25,0.25
sample_297,0.25,0.25,0.25,0.25
sample_298,0.25,0.25,0.25,0.25
sample_299,0.25,0.25,0.25,0.25
sample_300,0.25,0.25,0.25,0.25
sample_301,0.25,0.25,0.25,0.25
sample_302,0.25,0.25,0.25,0.25
sample_303,0.25,0.25,0.25,0.25
sample_304,0.25,0.25,0.25,0.25
sample_305,0.25,0.25,0.25,0.25
sample_306,0.25,0.25,0.25,0.25
sample_307,0.25,0.25,0.25,0.25
sample_308,0.25,0.25,0.25,0.25
sample_309,0.25,0.25,0.25,0.25
sample_310,0.25,0.25,0.25,0.25
sample_311,0.25,0.25,0.25,0.25
sample_312,0.25,0.25,0.25,0.25
sample_313,0.25,0.25,0.25,0.25
sample_314,0.25,0.25,0.25,0.25
sample_315,0.25,0.25,0.25,0.25
sample_316,0.25,0.25,0.25,0.25
sample_317,0.25,0.25,0.25,0.25
sample_318,0.25,0.25,0.25,0.25
sample_319,0.25,0.25,0.25,0.25
sample_320,0.25,0.25,0.25,0.25
sample_321,0.25,0.25,0.25,0.25
sample_322,0.25,0.25,0.25,0.25
sample_323,0.25,0.25,0.25,0.25
sample_324,0.25,0.25,0.25,0.25
sample_325,0.25,0.25,0.25,0.25
sample_326,0.25,0.25,0.25,0.25
sample_327,0.25,0.25,0.25,0.25
sample_328,0.25,0.25,0.25,0.25
sample_329,0.25,0.25,0.25,0.25
sample_330,0.25,0.25,0.25,0.25
sample_331,0.25,0.25,0.25,0.25
sample_332,0.25,0.25,0.25,0.25
sample_333,0.25,0.25,0.25,0.25
sample_334,0.25,0.25,0.25,0.25
sample_335,0.25,0.25,0.25,0.25
sample_336,0.25,0.25,0.25,0.25
sample_337,0.25,0.25,0.25,0.25
sample_338,0.25,0.25,0.25,0.25
sample_339,0.25,0.25,0.25,0.25
sample_340,0.25,0.25,0.25,0.25
sample_341,0.25,0.25,0.25,0.25
sample_342,0.25,0.25,0.25,0.25
sample_343,0.25,0.25,0.25,0.25
sample_344,0.25,0.25,0.25,0.25
sample_345,0.25,0.25,0.25,0.25
sample_346,0.25,0.25,0.25,0.25
sample_347,0.25,0.25,0.25,0.25
sample_348,0.25,0.25,0.25,0.25
sample_349,0.25,0.25,0.25,0.25
sample_350,0.25,0.25,0.25,0.25
sample_351,0.25,0.25,0.25,0.25
sample_352,0.25,0.25,0.25,0.25
sample_353,0.25,0.25,0.25,0.25
sample_354,0.25,0.25,0.25,0.25
sample_355,0.25,0.25,0.25,0.25
sample_356,0.25,0.25,0.25,0.25
sample_357,0.25,0.25,0.25,0.25
sample_358,0.25,0.25,0.25,0.25
sample_359,0.25,0.25,0.25,0.25
sample_360,0.25,0.25,0.25,0.25
sample_361,0.25,0.25,0.25,0.25
sample_362,0.25,0.25,0.25,0.25
sample_363,0.25,0.25,0.25,0.25
sample_364,0.25,0.25,0.25,0.25
sample_365,0.25,0.25,0.25,0.25
sample_366,0.25,0.25,0.25,0.25
sample_367,0.25,0.25,0.25,0.25
sample_368,0.25,0.25,0.25,0.25
sample_369,0.25,0.25,0.25,0.25
sample_370,0.25,0.25,0.25,0.25
sample_371,0.25,0.25,0.25,0.25
sample_372,0.25,0.25,0.25,0.25
sample_373,0.25,0.25,0.25,0.25
sample_374,0.25,0.25,0.25,0.25
sample_375,0.25,0.25,0.25,0.25
sample_376,0.25,0.25,0.25,0.25
sample_377,0.25,0.25,0.25,0.25
sample_378,0.25,0.25,0.25,0.25
sample_379,0.25,0.25,0.25,0.25
sample_380,0.25,0.25,0.25,0.25
sample_381,0.25,0.25,0.25,0.25
sample_382,0.25,0.25,0.25,0.25
sample_383,0.25,0.25,0.25,0.25
sample_384,0.25,0.25,0.25,0.25
sample_385,0.25,0.25,0.25,0.25
sample_386,0.25,0.25,0.25,0.25
sample_387,0.25,0.25,0.25,0.25
sample_388,0.25,0.25,0.25,0.25
sample_389,0.25,0.25,0.25,0.25
sample_390,0.25,0.25,0.25,0.25
sample_391,0.25,0.25,0.25,0.25
sample_392,0.25,0.25,0.25,0.25
sample_393,0.25,0.25,0.25,0.25
sample_394,0.25,0.25,0.25,0.25
sample_395,0.25,0.25,0.25,0.25
sample_396,0.25,0.25,0.25,0.25
sample_397,0.25,0.25,0.25,0.25
sample_398,0.25,0.25,0.25,0.25
sample_399,0.25,0.25,0.25,0.25
sample_400,0.25,0.25,0.25,0.25
sample_401,0.25,0.25,0.25,0.25
sample_402,0.25,0.25,0.25,0.25
sample_403,0.25,0.25,0.25,0.25
sample_404,0.25,0.25,0.25,0.25
sample_405,0.25,0.25,0.25,0.25
sample_406,0.25,0.25,0.25,0.25
sample_407,0.25,0.25,0.25,0.25
sample_408,0.25,0.25,0.25,0.25
sample_409,0.25,0.25,0.25,0.25
sample_410,0.25,0.25,0.25,0.25
sample_411,0.25,0.25,0.25,0.25
sample_412,0.25,0.25,0.25,0.25
sample_413,0.25,0.25,0.25,0.25
sample_414,0.25,0.25,0.25,0.25
sample_415,0.25,0.25,0.25,0.25
sample_416,0.25,0.25,0.25,0.25
sample_417,0.25,0.25,0.25,0.25
sample_418,0.25,0.25,0.25,0.25
sample_419,0.25,0.25,0.25,0.25
sample_420,0.25,0.25,0.25,0.25
sample_421,0.25,0.25,0.25,0.25
sample_422,0.25,0.25,0.25,0.25
sample_423,0.25,0.25,0.25,0.25
sample_424,0.25,0.25,0.25,0.25
sample_425,0.25,0.25,0.25,0.25
sample_426,0.25,0.25,0.25,0.25
sample_427,0.25,0.25,0.25,0.25
sample_428,0.25,0.25,0.25,0.25
sample_429,0.25,0.25,0.25,0.25
sample_430,0.25,0.25,0.25,0.25
sample_431,0.25,0.25,0.25,0.25
sample_432,0.25,0.25,0.25,0.25
sample_433,0.25,0.25,0.25,0.25
sample_434,0.25,0.25,0.25,0.25
sample_435,0.25,0.25,0.25,0.25
sample_436,0.25,0.25,0.25,0.25
sample_437,0.25,0.25,0.25,0.25
sample_438,0.25,0.25,0.25,0.25
sample_439,0.25,0.25,0.25,0.25
sample_440,0.25,0.25,0.25,0.25
sample_441,0.25,0.25,0.25,0.25
sample_442,0.25,0.25,0.25,0.25
sample_443,0.25,0.25,0.25,0.25
sample_444,0.25,0.25,0.25,0.25
sample_445,0.25,0.25,0.25,0.25
sample_446,0.25,0.25,0.25,0.25
sample_447,0.25,0.25,0.25,0.25
sample_448,0.25,0.25,0.25,0.25
sample_449,0.25,0.25,0.25,0.25
sample_450,0.25,0.25,0.25,0.25
sample_451,0.25,0.25,0.25,0.25
sample_452,0.25,0.25,0.25,0.25
sample_453,0.25,0.25,0.25,0.25
sample_454,0.25,0.25,0.25,0.25
sample_455,0.25,0.25,0.25,0.25
sample_456,0.25,0.25,0.25,0.25
sample_457,0.25,0.25,0.25,0.25
sample_458,0.25,0.25,0.25,0.25
sample_459,0.25,0.25,0.25,0.25
sample_460,0.25,0.25,0.25,0.25
sample_461,0.25,0.25,0.25,0.25
sample_462,0.25,0.25,0.25,0.25
sample_463,0.25,0.25,0.25,0.25
sample_464,0.25,0.25,0.25,0.25
sample_465,0.25,0.25,0.25,0.25
sample_466,0.25,0.25,0.25,0.25
sample_467,0.25,0.25,0.25,0.25
sample_468,0.25,0.25,0.25,0.25
sample_469,0.25,0.25,0.25,0.25
sample_470,0.25,0.25,0.25,0.25
sample_471,0.25,0.25,0.25,0.25
sample_472,0.25,0.25,0.25,0.25
sample_473,0.25,0.25,0.25,0.25
sample_474,0.25,0.25,0.25,0.25
sample_475,0.25,0.25,0.25,0.25
sample_476,0.25,0.25,0.25,0.25
sample_477,0.25,0.25,0.25,0.25
sample_478,0.25,0.25,0.25,0.25
sample_479,0.25,0.25,0.25,0.25
sample_480,0.25,0.25,0.25,0.25
sample_481,0.25,0.25,0.25,0.25
sample_482,0.25,0.25,0.25,0.25
sample_483,0.25,0.25,0.25,0.25
sample_484,0.25,0.25,0.25,0.25
sample_485,0.25,0.25,0.25,0.25
sample_486,0.25,0.25,0.25,0.25
sample_487,0.25,0.25,0.25,0.25
sample_488,0.25,0.25,0.25,0.25
sample_489,0.25,0.25,0.25,0.25
sample_490,0.25,0.25,0.25,0.25
sample_491,0.25,0.25,0.25,0.25
sample_492,0.25,0.25,0.25,0.25
sample_493,0.25,0.25,0.25,0.25
sample_494,0.25,0.25,0.25,0.25
sample_495,0.25,0.25,0.25,0.25
sample_496,0.25,0.25,0.25,0.25
sample_497,0.25,0.25,0.25,0.25
sample_498,0.25,0.25,0.25,0.25
sample_499,0.25,0.25,0.25,0.25
sample_500,0.25,0.25,0.25,0.25
sample_501,0.25,0.25,0.25,0.25
sample_502,0.25,0.25,0.25,0.25
sample_503,0.25,0.25,0.25,0.25
sample_504,0.25,0.25,0.25,0.25
sample_505,0.25,0.25,0.25,0.25
sample_506,0.25,0.25,0.25,0.25
sample_507,0.25,0.25,0.25,0.25
sample_508,0.25,0.25,0.25,0.25
sample_509,0.25,0.25,0.25,0.25
sample_510,0.25,0.25,0.25,0.25
sample_511,0.25,0.25,0.25,0.25
sample_512,0.25,0.25,0.25,0.25
sample_513,0.25,0.25,0.25,0.25
sample_514,0.25,0.25,0.25,0.25
sample_515,0.25,0.25,0.25,0.25
sample_516,0.25,0.25,0.25,0.25
sample_517,0.25,0.25,0.25,0.25
sample_518,0.25,0.25,0.25,0.25
sample_519,0.25,0.25,0.25,0.25
sample_520,0.25,0.25,0.25,0.25
sample_521,0.25,0.25,0.25,0.25
sample_522,0.25,0.25,0.25,0.25
sample_523,0.25,0.25,0.25,0.25
sample_524,0.25,0.25,0.25,0.25
sample_525,0.25,0.25,0.25,0.25
sample_526,0.25,0.25,0.25,0.25
sample_527,0.25,0.25,0.25,0.25
sample_528,0.25,0.25,0.25,0.25
sample_529,0.25,0.25,0.25,0.25
sample_530,0.25,0.25,0.25,0.25
sample_531,0.25,0.25,0.25,0.25
sample_532,0.25,0.25,0.25,0.25
sample_533,0.25,0.25,0.25,0.25
sample_534,0.25,0.25,0.25,0.25
sample_535,0.25,0.25,0.25,0.25
sample_536,0.25,0.25,0.25,0.25
sample_537,0.25,0.25,0.25,0.25
sample_538,0.25,0.25,0.25,0.25
sample_539,0.25,0.25,0.25,0.25
sample_540,0.25,0.25,0.25,0.25
sample_541,0.25,0.25,0.25,0.25
sample_542,0.25,0.25,0.25,0.25
sample_543,0.25,0.25,0.25,0.25
sample_544,0.25,0.25,0.25,0.25
sample_545,0.25,0.25,0.25,0.25
sample_546,0.25,0.25,0.25,0.25
sample_547,0.25,0.25,0.25,0.25
sample_548,0.25,0.25,0.25,0.25
sample_549,0.25,0.25,0.25,0.25
sample_550,0.25,0.25,0.25,0.25
sample_551,0.25,0.25,0.25,0.25
sample_552,0.25,0.25,0.25,0.25
sample_553,0.25,0.25,0.25,0.25
sample_554,0.25,0.25,0.25,0.25
sample_555,0.25,0.25,0.25,0.25
sample_556,0.25,0.25,0.25,0.25
sample_557,0.25,0.25,0.25,0.25
sample_558,0.25,0.25,0.25,0.25
sample_559,0.25,0.25,0.25,0.25
sample_560,0.25,0.25,0.25,0.25
sample_561,0.25,0.25,0.25,0.25
sample_562,0.25,0.25,0.25,0.25
sample_563,0.25,0.25,0.25,0.25
sample_564,0.25,0.25,0.25,0.25
sample_565,0.25,0.25,0.25,0.25
sample_566,0.25,0.25,0.25,0.25
sample_567,0.25,0.25,0.25,0.25
sample_568,0.25,0.25,0.25,0.25
sample_569,0.25,0.25,0.25,0.25
sample_570,0.25,0.25,0.25,0.25
sample_571,0.25,0.25,0.25,0.25
sample_572,0.25,0.25,0.25,0.25
sample_573,0.25,0.25,0.25,0.25
sample_574,0.25,0.25,0.25,0.25
sample_575,0.25,0.25,0.25,0.25
sample_576,0.25,0.25,0.25,0.25
sample_577,0.25,0.25,0.25,0.25
sample_578,0.25,0.25,0.25,0.25
sample_579,0.25,0.25,0.25,0.25
sample_580,0.25,0.25,0.25,0.25
sample_581,0.25,0.25,0.25,0.25
sample_582,0.25,0.25,0.25,0.25
sample_583,0.25,0.25,0.25,0.25
sample_584,0.25,0.25,0.25,0.25
sample_585,0.25,0.25,0.25,0.25
sample_586,0.25,0.25,0.25,0.25
sample_587,0.25,0.25,0.25,0.25
sample_588,0.25,0.25,0.25,0.25
sample_589,0.25,0.25,0.25,0.25
sample_590,0.25,0.25,0.25,0.25
sample_591,0.25,0.25,0.25,0.25
sample_592,0.25,0.25,0.25,0.25
sample_593,0.25,0.25,0.25,0.25
sample_594,0.25,0.25,0.25,0.25
sample_595,0.25,0.25,0.25,0.25
sample_596,0.25,0.25,0.25,0.25
sample_597,0.25,0.25,0.25,0.25
sample_598,0.25,0.25,0.25,0.25
sample_599,0.25,0.25,0.25,0.25
sample_600,0.25,0.25,0.25,0.25
sample_601,0.25,0.25,0.25,0.25
sample_602,0.25,0.25,0.25,0.25
sample_603,0.25,0.25,0.25,0.25
sample_604,0.25,0.25,0.25,0.25
sample_605,0.25,0.25,0.25,0.25
sample_606,0.25,0.25,0.25,0.25
sample_607,0.25,0.25,0.25,0.25
sample_608,0.25,0.25,0.25,0.25
sample_609,0.25,0.25,0.25,0.25
sample_610,0.25,0.25,0.25,0.25
sample_611,0.25,0.25,0.25,0.25
sample_612,0.25,0.25,0.25,0.25
sample_613,0.25,0.25,0.25,0.25
sample_614,0.25,0.25,0.25,0.25
sample_615,0.25,0.25,0.25,0.25
sample_616,0.25,0.25,0.25,0.25
sample_617,0.25,0.25,0.25,0.25
sample_618,0.25,0.25,0.25,0.25
sample_619,0.25,0.25,0.25,0.25
sample_620,0.25,0.25,0.25,0.25
sample_621,0.25,0.25,0.25,0.25
sample_622,0.25,0.25,0.25,0.25
sample_623,0.25,0.25,0.25,0.25
sample_624,0.25,0.25,0.25,0.25
sample_625,0.25,0.25,0.25,0.25
sample_626,0.25,0.25,0.25,0.25
sample_627,0.25,0.25,0.25,0.25
sample_628,0.25,0.25,0.25,0.25
sample_629,0.25,0.25,0.25,0.25
sample_630,0.25,0.25,0.25,0.25
sample_631,0.25,0.25,0.25,0.25
sample_632,0.25,0.25,0.25,0.25
sample_633,0.25,0.25,0.25,0.25
sample_634,0.25,0.25,0.25,0.25
sample_635,0.25,0.25,0.25,0.25
sample_636,0.25,0.25,0.25,0.25
sample_637,0.25,0.25,0.25,0.25
sample_638,0.25,0.25,0.25,0.25
sample_639,0.25,0.25,0.25,0.25
sample_640,0.25,0.25,0.25,0.25
sample_641,0.25,0.25,0.25,0.25
sample_642,0.25,0.25,0.25,0.25
sample_643,0.25,0.25,0.25,0.25
sample_644,0.25,0.25,0.25,0.25
sample_645,0.25,0.25,0.25,0.25
sample_646,0.25,0.25,0.25,0.25
sample_647,0.25,0.25,0.25,0.25
sample_648,0.25,0.25,0.25,0.25
sample_649,0.25,0.25,0.25,0.25
sample_650,0.25,0.25,0.25,0.25
sample_651,0.25,0.25,0.25,0.25
sample_652,0.25,0.25,0.25,0.25
sample_653,0.25,0.25,0.25,0.25
sample_654,0.25,0.25,0.25,0.25
sample_655,0.25,0.25,0.25,0.25
sample_656,0.25,0.25,0.25,0.25
sample_657,0.25,0.25,0.25,0.25
sample_658,0.25,0.25,0.25,0.25
sample_659,0.25,0.25,0.25,0.25
sample_660,0.25,0.25,0.25,0.25
sample_661,0.25,0.25,0.25,0.25
sample_662,0.25,0.25,0.25,0.25
sample_663,0.25,0.25,0.25,0.25
sample_664,0.25,0.25,0.25,0.25
sample_665,0.25,0.25,0.25,0.25
