Id,LotFrontage,LotArea,BldgType,OverallQual,OverallCond,FullBath,HalfBath,TotRmsAbvGrd,YearBuilt,TotalBsmtSF,BedroomAbvGr,Heating,CentralAir,GrLivArea,PoolArea,YrSold,SalePrice
52,,9000,TwnhsE,8,5,2,0,6,1985,952,3,GasA,Y,1547,0,2007,190992.656661914
53,74,10200,1Fam,5,7,2,0,5,1947,806,3,GasA,Y,1396,0,2006,105193.173647013
54,70,6130,1Fam,9,5,1,1,7,2004,1394,5,GasA,Y,861,0,2010,205599.365138611
55,70,4456,1Fam,9,5,1,1,10,2004,1210,2,GasA,Y,1601,0,2007,241105.81385477
56,73,40094,1Fam,7,6,2,0,6,2000,1610,3,GasA,Y,1003,0,2007,234003.773197927
57,50,8536,1Fam,6,5,1,0,7,1929,864,2,GasA,Y,1108,0,2006,85461.1442477651
58,32,8791,1Fam,4,5,1,1,4,1954,774,2,GasA,N,1944,0,2006,124111.405905716
59,100,8125,1Fam,8,8,1,0,5,2008,720,3,GasA,Y,1250,0,2010,180967.646568753
60,,10800,1Fam,7,5,1,1,5,1957,0,2,GasA,Y,1656,0,2010,157586.265134965
61,59,8400,1Fam,7,5,2,0,5,1993,1370,3,GasA,Y,1851,0,2007,233240.83798544
62,84,5330,1Fam,6,5,1,1,6,1936,901,4,GasA,Y,2531,0,2009,176077.492963687
63,,12886,TwnhsE,6,5,1,0,6,1885,840,3,GasA,Y,1661,0,2010,143237.327973837
64,85,7844,1Fam,8,5,2,1,5,2007,1200,2,GasA,Y,1511,0,2008,211252.303129711
65,65,7207,1Fam,8,5,1,1,8,1926,1394,2,GasA,Y,1494,0,2008,216263.381490024
66,70,8520,TwnhsE,7,5,1,1,11,1967,660,2,GasA,Y,2417,0,2008,205322.002719308
67,70,21535,1Fam,7,5,2,1,5,1934,858,2,GasA,Y,1493,0,2008,201455.113489761
68,75,10382,1Fam,7,6,2,1,7,1976,1054,3,GasA,Y,2230,0,2006,196081.752085826
69,60,10364,1Fam,4,4,2,0,7,1974,1768,3,GasA,Y,1339,0,2008,162200.726112206
70,63,8834,TwnhsE,7,7,1,0,5,2002,630,3,GasW,Y,1214,0,2007,144996.120560674
71,,14115,1Fam,9,6,2,0,7,1940,1650,2,GasA,Y,2020,0,2009,303143.961212302
72,107,9000,1Fam,5,5,2,0,7,2003,939,3,GasA,Y,1086,0,2007,138202.164115109
73,110,13125,1Fam,5,5,1,0,5,1989,1632,2,GasA,Y,960,0,2008,198875.300294881
74,59,8470,Twnhs,6,5,1,0,7,1962,912,2,GasA,Y,1248,0,2009,113425.015032831
75,,8530,1Fam,7,7,2,1,6,1949,1473,3,GasA,Y,2270,0,2010,221677.460264399
76,60,14364,1Fam,5,5,2,0,5,2004,713,3,GasA,Y,864,0,2007,145187.647589454
77,,7472,1Fam,5,5,2,1,5,1995,1392,3,GasA,N,1709,0,2006,183425.810142907
78,,9588,1Fam,4,6,2,0,6,1992,861,3,GasA,Y,1548,0,2009,166762.749847574
79,80,4500,Duplex,8,5,1,0,5,1976,1056,4,GasA,Y,1226,0,2010,173626.662641972
80,65,12438,1Fam,8,8,2,1,5,1910,948,3,GasA,Y,1041,0,2007,189569.270335531
81,,6380,1Fam,7,6,2,0,5,1999,1059,3,GasA,Y,2290,0,2010,215305.086812997
82,70,10000,1Fam,8,5,1,0,6,2008,1752,3,GasA,Y,816,0,2009,277423.46658955
83,,8600,1Fam,7,5,1,0,5,2001,1728,2,GasA,Y,1694,0,2010,206239.098314679
84,,9453,1Fam,7,5,2,0,7,1977,1304,3,GasA,Y,894,0,2008,115860.248139242
85,68,12692,1Fam,5,5,2,0,4,1962,1462,3,GasA,Y,1718,0,2008,178723.713118915
86,95,4923,1Fam,5,8,1,0,7,1998,1440,3,GasA,Y,1268,0,2009,177124.462113016
87,62,7750,1Fam,7,5,3,2,7,1921,1040,3,GasA,Y,1719,0,2007,144975.376203607
88,,8125,Twnhs,8,5,2,0,5,1998,1053,3,GasA,Y,1536,0,2010,184199.392353036
89,43,10880,1Fam,8,5,2,0,6,2001,2035,3,GasA,Y,2097,0,2007,287657.869611557
90,106,10625,1Fam,6,5,2,1,5,1956,1058,2,GasA,Y,848,0,2007,156544.346427125
91,,12704,1Fam,6,4,1,0,5,1963,1127,3,Grav,Y,2713,0,2006,225094.188029216
92,,8402,1Fam,6,5,2,1,8,1957,680,3,GasA,Y,912,0,2009,102470.721475047
93,,50271,Duplex,6,5,2,1,4,1963,1200,2,GasA,Y,2696,0,2006,213878.704440692
94,79,7945,1Fam,3,5,2,0,5,2007,1822,3,GasA,Y,1742,0,2006,182207.472617674
95,68,5500,1Fam,7,5,2,0,4,2005,1976,3,GasA,Y,2144,0,2006,239338.259435199
96,85,10437,1Fam,3,6,1,0,4,2006,1078,2,GasA,Y,2020,0,2007,192883.950998081
97,59,9000,1Fam,5,4,2,0,11,1976,728,2,GasA,Y,960,0,2010,95928.5628832217
98,,5925,1Fam,5,6,1,0,7,1971,912,3,GasA,Y,1464,0,2009,162359.190281232
99,110,6858,1Fam,5,6,2,1,6,1900,780,5,GasA,Y,928,0,2007,106012.013869824
100,80,9337,1Fam,7,6,1,0,7,1957,697,3,GasA,Y,729,0,2009,110416.119373813
101,,2665,1Fam,5,5,2,0,6,1920,1501,2,GasA,Y,1717,0,2007,154496.821864579
102,36,14803,1Fam,6,6,2,0,4,1950,1304,2,GasA,Y,1322,0,2009,161275.31404694
103,118,10264,TwnhsE,9,5,1,1,4,1925,1088,4,GasA,Y,1572,0,2009,183019.34425319
104,,15611,1Fam,8,5,2,1,6,1953,1052,2,GasA,Y,1939,0,2008,249609.388094322
105,86,14215,1Fam,8,5,2,0,10,1971,970,3,GasA,Y,861,0,2006,230080.556992903
106,80,7018,1Fam,7,7,1,0,8,1950,991,2,GasA,N,861,0,2008,153282.164144566
107,78,9100,1Fam,6,5,1,0,5,1972,1541,1,GasA,Y,1526,0,2006,182568.731820683
108,64,4590,1Fam,7,5,2,0,7,2005,0,3,GasA,Y,1155,0,2007,177536.741966724
109,109,10859,1Fam,8,5,2,0,7,1920,1024,3,GasA,N,1344,0,2010,172833.10029863
110,174,11600,1Fam,5,3,2,1,6,1950,1520,3,GasA,Y,2217,0,2007,196175.982323137
111,50,5000,1Fam,7,5,1,0,9,1964,384,3,GasA,Y,1774,0,2006,170609.485791991
112,,8402,Duplex,5,8,1,0,8,1946,672,3,GasA,Y,1128,0,2009,63118.5294543251
113,70,7500,1Fam,7,5,1,0,6,1957,485,3,GasA,Y,1590,0,2009,161686.798240512
114,85,4130,1Fam,7,5,3,0,7,1963,1141,3,GasA,Y,4316,0,2006,320235.116881748
115,70,10004,1Fam,6,6,1,1,6,1997,0,3,GasA,Y,1520,0,2008,164952.900057991
116,50,12090,1Fam,6,7,2,1,9,1993,384,3,GasA,Y,1358,0,2006,164085.238037503
117,75,6120,1Fam,7,6,1,0,8,2006,910,2,GasA,Y,1726,0,2006,188575.360259619
118,64,7685,1Fam,8,5,1,0,6,2002,1034,4,GasA,Y,1800,0,2009,217360.620336564
119,74,12400,1Fam,4,5,1,0,6,1978,1262,3,GasA,N,1839,0,2006,181381.672512415
120,36,9600,1Fam,4,6,1,0,6,1991,1057,3,GasA,Y,1796,0,2009,202570.345225878
121,80,14200,1Fam,7,5,2,0,6,1996,1100,3,GasA,Y,1362,0,2007,191098.187498819
122,150,10197,1Fam,5,5,2,0,8,1976,988,2,GasA,Y,1661,0,2007,144529.282691489
123,107,159000,1Fam,7,7,2,1,8,1977,1176,3,GasW,Y,1109,0,2010,179821.512744816
124,,19138,1Fam,5,5,1,0,6,1980,804,2,GasA,Y,912,0,2007,135291.526813453
125,92,9612,1Fam,6,6,1,0,8,1948,796,3,GasA,Y,2097,0,2009,173623.081901772
126,84,8846,1Fam,7,7,2,0,7,1972,1276,3,GasA,N,720,0,2006,146683.759800967
127,85,7200,1Fam,4,7,1,0,6,1932,1200,2,GasA,Y,1775,0,2008,174639.476297301
128,24,12493,1Fam,8,5,2,1,6,1913,572,2,GasA,Y,1792,0,2007,189720.925439831
129,67,7018,1Fam,6,5,1,0,6,2007,1026,2,GasA,N,1109,0,2010,193115.195495955
130,61,5400,1Fam,9,6,1,0,7,2005,1604,3,GasA,Y,1768,0,2009,313588.669333861
131,,9320,1Fam,7,5,2,0,5,1890,868,3,GasA,Y,1665,0,2007,136900.508480502
132,74,12327,1Fam,7,5,3,0,11,2006,768,3,GasA,Y,1564,0,2006,180158.984439567
133,80,11616,1Fam,5,5,1,0,8,1995,876,2,GasA,Y,1590,0,2007,146945.670704411
134,55,11333,1Fam,8,5,2,1,6,1976,1428,3,GasA,Y,1110,0,2006,164217.898138502
135,40,8800,1Fam,5,7,2,0,8,1931,1099,2,GasA,Y,1224,0,2007,145236.719857814
136,90,13005,1Fam,7,5,1,0,5,1984,952,3,GasA,Y,1973,0,2010,197386.069729186
137,70,9100,1Fam,5,5,1,1,5,1962,900,3,GasA,Y,912,0,2008,106318.928877634
138,80,11694,1Fam,7,5,1,0,6,1913,794,3,GasA,Y,1368,0,2008,111294.950902583
139,,4928,1Fam,7,7,1,0,7,1966,1293,4,GasA,Y,987,0,2006,163211.0849301
140,33,14601,1Fam,7,6,1,0,8,2005,798,3,GasA,Y,1350,0,2009,170371.350272233
141,60,13695,Duplex,4,7,1,0,6,1997,1324,3,GasA,Y,864,0,2009,155726.40392675
142,75,9900,1Fam,7,5,1,0,5,1954,729,2,GasA,Y,1982,0,2009,174058.668289573
143,40,9830,1Fam,10,5,1,1,7,1959,1318,3,GasA,Y,894,0,2009,224634.134463727
144,81,1890,1Fam,6,6,2,0,6,1997,1204,2,GasA,Y,1200,0,2007,160610.236016598
145,,10839,1Fam,7,6,1,0,11,1925,728,3,GasA,Y,1080,0,2010,164885.303656329
146,35,9000,2fmCon,6,7,2,0,7,2004,1389,3,GasA,Y,1541,0,2009,181616.614607209
147,,9600,Twnhs,5,6,2,1,6,1936,716,4,GasA,Y,2630,0,2009,198956.41114792
148,43,9120,1Fam,7,5,2,1,6,1941,780,3,GasA,Y,1230,0,2006,134950.854714343
149,65,6240,1Fam,6,6,1,1,5,1974,672,3,GasA,Y,1792,0,2008,154731.721655138
150,65,10793,1Fam,6,5,2,1,10,1900,1437,3,GasA,Y,1743,0,2007,143571.044697256
151,63,10150,1Fam,5,5,1,1,7,2005,1419,3,GasA,Y,848,0,2009,206518.851092777
152,50,10500,Twnhs,7,8,2,0,6,1930,864,2,GasA,Y,1382,0,2007,164866.227826132
153,,7399,1Fam,7,5,2,0,6,2007,1240,2,GasA,Y,1601,0,2009,213030.193269467
154,,16669,1Fam,5,7,2,1,6,1960,1196,1,GasA,Y,1073,0,2010,153872.131529932
155,55,5389,1Fam,4,5,2,1,6,1993,1299,3,GasA,Y,1432,0,2006,137476.191392786
156,55,8250,1Fam,5,5,2,0,6,1908,1240,3,GasA,Y,1680,0,2010,108175.845669207
157,78,11777,1Fam,10,7,1,0,7,1977,1626,2,GasA,Y,864,0,2010,260774.402405641
158,144,10530,1Fam,8,7,1,1,6,2003,912,3,GasA,Y,968,0,2006,188383.571421291
159,88,6993,1Fam,1,6,1,0,7,1997,1057,3,GasA,N,1458,0,2009,171245.504708627
160,140,9400,1Fam,6,7,2,0,7,1939,1588,3,GasA,Y,912,0,2007,183259.736341653
161,73,8800,TwnhsE,7,5,1,1,6,1939,1176,2,GasA,Y,1365,0,2006,132863.570439225
162,70,1936,1Fam,5,5,1,0,4,1953,888,3,GasA,Y,902,0,2008,61388.0888014262
163,55,15593,Twnhs,6,5,1,1,7,1984,799,2,GasA,Y,958,0,2006,147647.488466762
164,51,11248,1Fam,5,7,1,1,7,1915,1926,4,GasA,Y,1125,0,2010,166262.994953759
165,,9200,1Fam,6,5,2,0,7,1936,1004,3,GasA,Y,3395,0,2007,182526.929234674
166,55,4750,1Fam,5,5,2,0,6,1924,874,4,GasA,Y,1178,0,2006,112604.122149007
167,,6270,2fmCon,5,7,2,0,6,1953,1728,3,GasA,N,1117,0,2009,125590.07099389
168,98,10500,1Fam,5,7,2,1,6,1965,1350,3,GasA,Y,924,0,2009,167016.814886483
169,21,10778,1Fam,5,5,2,0,6,2007,0,2,GasA,Y,1196,0,2007,133204.291113602
170,90,21000,1Fam,7,5,2,0,5,1957,600,4,GasA,Y,1577,0,2008,174619.654371404
171,80,14364,1Fam,5,5,1,1,6,1971,637,2,GasA,Y,1032,0,2009,108642.816567797
172,,11200,1Fam,7,6,2,1,10,1949,794,2,GasA,Y,1516,0,2010,182007.160480267
173,57,17503,1Fam,7,6,1,0,7,1999,1144,3,GasA,Y,1651,0,2008,192585.969762662
174,80,8393,1Fam,8,5,1,1,4,1976,864,3,GasA,Y,2640,0,2006,261849.213958772
175,78,11050,1Fam,7,5,2,1,9,1954,1208,3,GasA,Y,752,0,2009,161927.516922894
176,71,11900,1Fam,8,6,1,0,7,2006,864,3,GasA,Y,864,0,2009,185308.333044012
177,,9600,1Fam,8,5,1,0,6,1948,755,3,GasA,Y,2138,0,2006,230780.24017442
178,60,9297,1Fam,4,5,2,0,7,1973,547,3,GasA,Y,1363,0,2009,132039.13194423
179,77,9554,1Fam,6,5,1,0,5,1974,483,3,GasA,Y,882,0,2007,87100.7343278021
180,86,9760,1Fam,7,8,2,0,5,1962,1062,3,GasA,Y,1698,0,2007,168480.9168923
181,76,9786,1Fam,6,7,2,0,7,1910,930,3,GasA,Y,1336,0,2009,161608.23624259
182,,1680,1Fam,5,7,1,0,6,1975,1494,3,GasA,Y,1216,0,2006,142478.250052013
183,70,8777,Duplex,7,6,2,1,5,1998,264,3,GasA,Y,1621,0,2006,133767.965668743
184,60,12168,1Fam,6,8,2,0,5,1988,840,3,GasA,Y,1554,0,2009,193267.189932666
185,75,11751,1Fam,6,6,2,0,5,1958,576,3,GasA,Y,1962,0,2009,145601.64801975
186,60,8532,1Fam,3,5,1,0,9,1988,918,3,GasA,Y,1717,0,2006,136400.1064708
187,100,50271,1Fam,6,7,2,1,6,2009,1498,4,GasA,Y,1509,0,2009,238686.337442496
188,,8800,1Fam,4,7,1,0,8,1957,319,3,GasA,Y,825,0,2009,100553.075683843
189,34,8125,1Fam,8,5,2,0,7,2007,1593,3,GasA,Y,1224,0,2009,221446.189106602
190,65,3182,1Fam,5,5,2,1,4,1965,720,4,GasA,Y,1721,0,2008,138433.077499319
191,52,9600,1Fam,5,5,2,0,6,1920,970,4,GasA,Y,2285,0,2009,168856.579321448
192,75,6120,TwnhsE,5,5,1,0,11,2007,770,2,GasA,Y,1593,0,2007,155358.658560007
193,,25286,1Fam,7,5,1,0,6,1910,1008,2,GasA,Y,1494,0,2010,219004.340486367
194,63,19378,1Fam,10,5,2,0,5,1970,1670,2,GasA,Y,1954,0,2007,318698.801696631
195,80,12122,1Fam,6,5,1,0,7,2004,1176,2,GasA,Y,1223,0,2006,189183.677634791
196,80,8544,1Fam,7,5,1,1,8,1999,894,3,GasA,Y,2332,0,2008,233403.182263076
197,84,13472,1Fam,6,8,2,0,6,2006,832,1,GasA,Y,1002,0,2008,157723.332060634
198,40,7301,1Fam,4,5,1,0,4,2000,1559,3,GasA,Y,981,0,2010,168260.036273269
199,91,8544,1Fam,5,6,2,1,5,2000,1032,2,GasA,Y,1121,0,2006,114072.756663045
200,,8546,1Fam,5,5,1,0,6,1950,1649,3,GasA,Y,1406,0,2007,154430.323401115
201,,11717,1Fam,5,5,1,2,8,2001,1581,3,GasA,Y,1181,0,2009,196932.044253527
202,80,12456,Duplex,6,6,1,0,6,1982,794,1,GasA,N,1686,0,2007,102540.459186149
203,61,14585,1Fam,5,5,2,1,6,1935,1158,4,GasA,Y,902,0,2007,132345.900204919
204,84,11645,1Fam,5,5,1,0,9,1930,832,3,GasA,Y,1688,0,2007,150750.421764161
205,66,7540,1Fam,7,6,2,1,7,1971,0,3,GasA,Y,1327,0,2009,125766.254797805
206,,9416,1Fam,7,7,2,0,10,1950,1814,2,GasA,Y,1484,0,2008,221626.179405001
207,80,7800,Twnhs,6,5,2,0,9,1976,952,3,GasA,Y,1929,0,2007,178967.185670628
208,65,6563,Duplex,6,5,2,0,7,1959,1063,3,GasA,Y,902,0,2006,134819.43240471
209,75,7064,1Fam,7,4,1,0,5,1955,698,2,GasA,N,1886,0,2007,123713.83879231
210,80,12144,1Fam,7,5,1,0,7,1995,1078,2,GasA,N,1389,0,2007,184699.504384541
211,82,11250,1Fam,6,5,2,0,4,2003,796,3,GasA,Y,1680,0,2006,164685.616182655
212,,8500,1Fam,7,5,2,0,6,1957,807,2,GasA,Y,2008,0,2007,190421.867031025
213,59,11625,1Fam,6,5,2,0,8,1926,1434,3,GasA,Y,1358,0,2007,144055.979559586
214,105,4388,1Fam,8,5,2,0,5,1980,1268,3,GasA,Y,1121,0,2008,148331.08625693
215,,4435,1Fam,5,7,3,0,8,2008,819,2,GasA,Y,1204,0,2007,172466.127807261
216,43,11000,1Fam,7,5,2,0,5,2003,832,3,GasA,Y,1236,0,2009,161083.232830898
217,100,9920,1Fam,7,6,1,0,4,2002,0,2,GasA,Y,1959,0,2009,193165.41815837
218,122,9056,1Fam,6,6,1,0,8,1923,738,3,GasA,Y,948,0,2009,138292.740509689
219,,8777,1Fam,7,5,3,0,7,1880,520,3,GasA,Y,838,0,2008,92541.2819649834
220,85,21872,1Fam,5,6,1,0,6,1977,894,4,GasA,Y,3112,0,2008,199952.507056348
221,63,9938,1Fam,6,5,1,0,7,2003,1461,4,GasA,Y,1385,0,2007,228943.655120272
222,100,8640,1Fam,6,5,1,0,7,1946,864,2,GasA,Y,2110,0,2007,198811.429572507
223,43,11341,1Fam,7,5,2,0,6,2006,1145,3,GasA,Y,1573,0,2006,246306.574329124
224,80,10400,1Fam,7,5,2,1,7,1913,1097,2,GasA,Y,987,0,2007,137232.895154917
225,60,15138,1Fam,5,7,2,0,5,2001,736,4,GasA,Y,1768,0,2009,173621.415401633
226,50,8925,TwnhsE,5,5,2,1,5,2002,825,3,GasA,Y,796,0,2010,113855.069018316
227,,19900,1Fam,5,6,1,0,5,2003,1848,4,GasA,Y,1734,0,2006,230568.884036573
228,75,7844,1Fam,5,3,1,0,6,1994,938,4,GasA,Y,1057,0,2008,108145.900599691
229,77,17043,1Fam,5,5,2,0,6,1983,1165,2,GasA,Y,1322,0,2009,154970.938092396
230,80,9337,1Fam,7,7,1,0,8,2006,1728,4,GasA,Y,747,0,2008,223995.420813889
231,80,9600,1Fam,6,5,2,0,7,2009,1262,3,GasA,Y,2324,0,2006,253570.769778456
232,59,14000,1Fam,5,5,1,0,4,1962,1056,3,GasA,Y,1200,0,2007,127886.985154171
233,88,9803,1Fam,7,5,2,1,9,1976,654,4,GasA,Y,1340,0,2007,121461.997929559
234,77,13478,1Fam,8,5,2,0,7,1957,1269,4,GasA,Y,1092,0,2009,180519.220054491
235,89,9430,1Fam,7,6,1,0,6,2004,774,3,GasA,Y,2060,0,2010,242879.805185688
236,72,9803,1Fam,6,4,1,1,5,1997,828,3,GasA,Y,1601,0,2009,180387.654096838
237,80,7244,Twnhs,6,6,2,0,7,1958,1258,2,GasA,Y,1714,0,2007,112989.032774348
238,65,11075,1Fam,6,6,1,1,11,1930,728,2,GasA,Y,1663,0,2006,158068.272380403
239,70,12665,1Fam,5,7,1,0,5,1954,1092,4,GasA,Y,1262,0,2007,158252.636549856
240,32,7795,1Fam,6,5,1,1,6,1920,1004,2,GasA,Y,1911,0,2006,196946.990163138
241,75,7388,1Fam,8,8,1,1,4,1961,1007,3,GasA,Y,1319,0,2008,210898.01271164
242,60,25419,1Fam,8,9,2,1,6,1973,384,3,GasA,Y,2069,0,2009,254931.209657903
243,70,14191,1Fam,5,6,1,0,5,1908,884,3,GasA,Y,2630,0,2006,191824.769346427
244,96,4403,1Fam,5,7,2,0,6,1998,849,4,GasA,Y,832,0,2007,147964.404697045
245,129,8737,1Fam,6,5,1,1,6,1971,2000,3,GasA,Y,1839,0,2006,163976.831186262
246,50,8246,1Fam,5,5,1,1,6,1999,768,2,GasA,Y,1494,0,2006,207065.515829208
247,21,8600,1Fam,7,8,2,1,5,1916,0,3,GasA,Y,2229,0,2009,162435.443593113
248,60,19296,1Fam,8,5,1,0,7,1954,864,4,GasA,Y,1557,0,2008,206630.947491415
249,32,1680,1Fam,4,7,2,0,7,1942,1145,3,GasA,Y,1959,0,2009,139479.223764867
250,30,9600,TwnhsE,7,7,2,0,6,1990,1350,2,GasA,Y,1194,0,2009,185731.620027166
251,87,8125,1Fam,8,5,2,1,6,2008,900,1,GasA,Y,1788,0,2007,221632.775488061
252,50,12400,1Fam,7,6,1,1,6,1992,0,4,GasA,Y,1098,0,2009,157116.186793715
253,60,6911,1Fam,6,5,1,0,6,1880,1734,3,GasA,Y,2207,0,2007,134062.174578221
254,66,10927,1Fam,7,7,2,1,8,1925,840,3,GasA,Y,1003,0,2008,133424.117883297
255,98,21750,TwnhsE,7,6,1,1,6,2006,483,5,GasA,Y,2713,0,2007,258365.376428224
256,60,10207,1Fam,5,5,2,0,6,2001,462,4,GasA,Y,2504,0,2009,180075.161380614
257,,8246,1Fam,7,5,1,1,9,1983,1041,3,GasA,N,1826,0,2008,214562.073120182
258,60,9600,1Fam,6,6,2,0,5,2003,950,3,GasA,Y,1121,0,2010,176103.441323659
259,80,2651,1Fam,6,5,1,0,6,1949,741,6,GasA,Y,1720,0,2006,146700.01213332
260,63,10237,2fmCon,7,5,2,0,5,1997,1370,2,GasA,Y,1248,0,2008,217271.466056546
261,50,15865,1Fam,5,7,2,0,8,1973,845,3,GasA,Y,1800,0,2006,164350.268342538
262,,10690,1Fam,8,6,2,1,10,2006,1302,2,GasA,Y,2324,0,2009,352058.552975409
263,,16659,2fmCon,6,5,1,0,7,1955,936,4,GasA,Y,1362,0,2007,171374.058705896
264,80,5350,1Fam,7,5,1,0,6,1988,1196,3,GasA,Y,1392,0,2007,186760.547145828
265,43,10364,1Fam,5,5,1,1,10,1991,1614,4,GasA,Y,1229,0,2008,187125.303892119
266,,13400,1Fam,5,5,2,1,6,1936,1057,3,Wall,Y,1986,0,2009,183729.729936357
267,85,7577,1Fam,7,5,2,1,8,1963,1134,2,GasA,Y,1558,0,2007,178411.330520903
268,,7226,1Fam,7,7,2,1,4,1949,777,3,GasA,Y,2013,0,2008,207964.611311991
