LotFrontage,LotArea,BldgType1Fam,BldgType2fmCon,BldgTypeDuplex,BldgTypeTwnhs,BldgTypeTwnhsE,OverallQual,OverallCond,FullBath,HalfBath,TotRmsAbvGrd,YearBuilt,TotalBsmtSF,BedroomAbvGr,HeatingGasA,HeatingGasW,HeatingGrav,HeatingWall,CentralAirN,CentralAirY,GrLivArea,PoolArea,YrSold,SalePrice
60,7024,1,0,0,0,0,5,5,2,0,8,1923,980,2,1,0,0,0,0,1,960,0,2008,105346.932906362
69.7719596646823,6402,0,0,0,0,1,8,8,2,0,5,1967,864,2,1,0,0,0,1,0,2013,0,2009,244503.122392499
69.7719596646823,4608,1,0,0,0,0,4,7,1,1,4,1937,1606,3,1,0,0,0,0,1,990,0,2010,119990.866265558
121,18800,1,0,0,0,0,5,5,1,0,6,1994,1040,3,1,0,0,0,0,1,1842,0,2009,190179.747212314
174,10637,1,0,0,0,0,6,5,2,1,7,1971,953,2,1,0,0,0,0,1,2090,0,2006,172179.77230031
104,8470,1,0,0,0,0,4,7,1,1,8,1963,910,3,1,0,0,0,1,0,630,0,2006,112592.209004279
65,1920,0,0,1,0,0,6,6,2,0,8,1910,1792,3,1,0,0,0,0,1,1533,0,2009,147151.457952575
174,26178,1,0,0,0,0,5,5,2,0,7,2006,1040,3,1,0,0,0,0,1,860,0,2009,157069.162303599
80,3196,1,0,0,0,0,6,5,2,0,6,2006,1753,3,1,0,0,0,0,1,2087,0,2006,210540.492369346
51,6853,0,0,0,0,1,7,6,2,1,6,1949,1264,3,1,0,0,0,0,1,1626,0,2007,210888.891086772
130,7990,1,0,0,0,0,5,5,2,0,5,1959,648,3,1,0,0,0,0,1,1774,0,2009,121802.419000496
70,4456,1,0,0,0,0,7,6,2,0,5,1965,1288,4,1,0,0,0,0,1,848,0,2007,119333.867726964
51,7200,1,0,0,0,0,7,5,2,1,6,1993,894,5,1,0,0,0,0,1,1636,0,2008,183411.238305899
69.7719596646823,5000,0,0,0,0,1,9,6,1,0,7,1941,2217,3,1,0,0,0,0,1,864,0,2008,221743.427150535
69.7719596646823,10452,1,0,0,0,0,7,6,2,0,5,2008,1112,3,1,0,0,0,0,1,1936,0,2007,249356.105289022
69.7719596646823,12011,0,0,1,0,0,5,5,2,0,5,1968,1140,4,1,0,0,0,0,1,1541,0,2007,140136.433692692
63,10140,1,0,0,0,0,8,9,2,0,6,1996,1004,3,1,0,0,0,1,0,747,0,2006,188141.859914345
82,8125,1,0,0,0,0,3,5,1,1,6,2009,912,3,1,0,0,0,0,1,988,0,2007,136223.51989944
50,9100,1,0,0,0,0,7,4,1,1,5,1999,1264,4,1,0,0,0,0,1,969,0,2007,175915.211150233
55,8012,1,0,0,0,0,5,5,1,0,7,1885,912,3,1,0,0,0,0,1,2031,0,2009,155355.015051801
75,13568,0,0,0,0,1,4,7,2,1,8,2007,1234,4,1,0,0,0,0,1,2574,0,2006,228083.912894883
69.7719596646823,10400,1,0,0,0,0,6,5,2,0,6,1921,999,3,1,0,0,0,0,1,1212,0,2008,97968.2137364071
60,10480,1,0,0,0,0,5,6,2,1,6,1988,1050,3,1,0,0,0,0,1,894,0,2006,100858.964227387
65,8064,1,0,0,0,0,5,6,2,0,7,1893,1391,3,1,0,0,0,0,1,1382,0,2008,132172.815318949
69.7719596646823,12822,1,0,0,0,0,5,5,1,1,5,1957,1095,3,1,0,0,0,0,1,2267,0,2006,184055.111039777
103,1596,1,0,0,0,0,6,5,1,1,4,1998,1073,3,1,0,0,0,0,1,1412,0,2009,178289.797169471
83,6120,1,0,0,0,0,6,5,2,0,6,1916,924,2,1,0,0,0,0,1,1526,0,2007,117382.024439671
60,8125,0,0,0,0,1,7,5,2,0,8,1996,0,3,1,0,0,0,0,1,1194,0,2007,156410.958861137
80,13811,1,0,0,0,0,4,4,1,0,7,1999,901,3,1,0,0,0,0,1,1947,0,2009,185266.028192672
21,10400,1,0,0,0,0,3,6,2,0,4,2004,1142,2,1,0,0,0,0,1,1242,0,2006,158413.946889674
69.7719596646823,8172,0,0,1,0,0,4,5,2,0,5,1993,1258,3,1,0,0,0,0,1,1728,0,2010,178101.640949419
69.7719596646823,1920,1,0,0,0,0,4,6,1,1,8,1925,1394,3,1,0,0,0,0,1,1302,0,2008,131071.434838447
78,11050,1,0,0,0,0,8,7,2,0,6,1975,1656,3,1,0,0,0,0,1,1616,0,2009,245426.605899028
69.7719596646823,6000,1,0,0,0,0,9,5,1,1,8,1959,720,4,1,0,0,0,0,1,1629,0,2006,220409.102270047
69.7719596646823,9000,0,0,0,0,1,8,5,2,0,6,1985,952,3,1,0,0,0,0,1,1547,0,2007,190992.656661914
74,10200,1,0,0,0,0,5,7,2,0,5,1947,806,3,1,0,0,0,0,1,1396,0,2006,105193.173647013
70,6130,1,0,0,0,0,9,5,1,1,7,2004,1394,5,1,0,0,0,0,1,861,0,2010,205599.365138611
70,4456,1,0,0,0,0,9,5,1,1,10,2004,1210,2,1,0,0,0,0,1,1601,0,2007,241105.81385477
73,40094,1,0,0,0,0,7,6,2,0,6,2000,1610,3,1,0,0,0,0,1,1003,0,2007,234003.773197927
50,8536,1,0,0,0,0,6,5,1,0,7,1929,864,2,1,0,0,0,0,1,1108,0,2006,85461.1442477651
32,8791,1,0,0,0,0,4,5,1,1,4,1954,774,2,1,0,0,0,1,0,1944,0,2006,124111.405905716
100,8125,1,0,0,0,0,8,8,1,0,5,2008,720,3,1,0,0,0,0,1,1250,0,2010,180967.646568753
69.7719596646823,10800,1,0,0,0,0,7,5,1,1,5,1957,0,2,1,0,0,0,0,1,1656,0,2010,157586.265134965
59,8400,1,0,0,0,0,7,5,2,0,5,1993,1370,3,1,0,0,0,0,1,1851,0,2007,233240.83798544
84,5330,1,0,0,0,0,6,5,1,1,6,1936,901,4,1,0,0,0,0,1,2531,0,2009,176077.492963687
69.7719596646823,12886,0,0,0,0,1,6,5,1,0,6,1885,840,3,1,0,0,0,0,1,1661,0,2010,143237.327973837
85,7844,1,0,0,0,0,8,5,2,1,5,2007,1200,2,1,0,0,0,0,1,1511,0,2008,211252.303129711
65,7207,1,0,0,0,0,8,5,1,1,8,1926,1394,2,1,0,0,0,0,1,1494,0,2008,216263.381490024
70,8520,0,0,0,0,1,7,5,1,1,11,1967,660,2,1,0,0,0,0,1,2417,0,2008,205322.002719308
70,21535,1,0,0,0,0,7,5,2,1,5,1934,858,2,1,0,0,0,0,1,1493,0,2008,201455.113489761
75,10382,1,0,0,0,0,7,6,2,1,7,1976,1054,3,1,0,0,0,0,1,2230,0,2006,196081.752085826
60,10364,1,0,0,0,0,4,4,2,0,7,1974,1768,3,1,0,0,0,0,1,1339,0,2008,162200.726112206
63,8834,0,0,0,0,1,7,7,1,0,5,2002,630,3,0,1,0,0,0,1,1214,0,2007,144996.120560674
69.7719596646823,14115,1,0,0,0,0,9,6,2,0,7,1940,1650,2,1,0,0,0,0,1,2020,0,2009,303143.961212302
107,9000,1,0,0,0,0,5,5,2,0,7,2003,939,3,1,0,0,0,0,1,1086,0,2007,138202.164115109
110,13125,1,0,0,0,0,5,5,1,0,5,1989,1632,2,1,0,0,0,0,1,960,0,2008,198875.300294881
59,8470,0,0,0,1,0,6,5,1,0,7,1962,912,2,1,0,0,0,0,1,1248,0,2009,113425.015032831
69.7719596646823,8530,1,0,0,0,0,7,7,2,1,6,1949,1473,3,1,0,0,0,0,1,2270,0,2010,221677.460264399
60,14364,1,0,0,0,0,5,5,2,0,5,2004,713,3,1,0,0,0,0,1,864,0,2007,145187.647589454
69.7719596646823,7472,1,0,0,0,0,5,5,2,1,5,1995,1392,3,1,0,0,0,1,0,1709,0,2006,183425.810142907
69.7719596646823,9588,1,0,0,0,0,4,6,2,0,6,1992,861,3,1,0,0,0,0,1,1548,0,2009,166762.749847574
80,4500,0,0,1,0,0,8,5,1,0,5,1976,1056,4,1,0,0,0,0,1,1226,0,2010,173626.662641972
65,12438,1,0,0,0,0,8,8,2,1,5,1910,948,3,1,0,0,0,0,1,1041,0,2007,189569.270335531
69.7719596646823,6380,1,0,0,0,0,7,6,2,0,5,1999,1059,3,1,0,0,0,0,1,2290,0,2010,215305.086812997
70,10000,1,0,0,0,0,8,5,1,0,6,2008,1752,3,1,0,0,0,0,1,816,0,2009,277423.46658955
69.7719596646823,8600,1,0,0,0,0,7,5,1,0,5,2001,1728,2,1,0,0,0,0,1,1694,0,2010,206239.098314679
69.7719596646823,9453,1,0,0,0,0,7,5,2,0,7,1977,1304,3,1,0,0,0,0,1,894,0,2008,115860.248139242
68,12692,1,0,0,0,0,5,5,2,0,4,1962,1462,3,1,0,0,0,0,1,1718,0,2008,178723.713118915
95,4923,1,0,0,0,0,5,8,1,0,7,1998,1440,3,1,0,0,0,0,1,1268,0,2009,177124.462113016
62,7750,1,0,0,0,0,7,5,3,2,7,1921,1040,3,1,0,0,0,0,1,1719,0,2007,144975.376203607
69.7719596646823,8125,0,0,0,1,0,8,5,2,0,5,1998,1053,3,1,0,0,0,0,1,1536,0,2010,184199.392353036
43,10880,1,0,0,0,0,8,5,2,0,6,2001,2035,3,1,0,0,0,0,1,2097,0,2007,287657.869611557
106,10625,1,0,0,0,0,6,5,2,1,5,1956,1058,2,1,0,0,0,0,1,848,0,2007,156544.346427125
69.7719596646823,12704,1,0,0,0,0,6,4,1,0,5,1963,1127,3,0,0,1,0,0,1,2713,0,2006,225094.188029216
69.7719596646823,8402,1,0,0,0,0,6,5,2,1,8,1957,680,3,1,0,0,0,0,1,912,0,2009,102470.721475047
69.7719596646823,50271,0,0,1,0,0,6,5,2,1,4,1963,1200,2,1,0,0,0,0,1,2696,0,2006,213878.704440692
79,7945,1,0,0,0,0,3,5,2,0,5,2007,1822,3,1,0,0,0,0,1,1742,0,2006,182207.472617674
68,5500,1,0,0,0,0,7,5,2,0,4,2005,1976,3,1,0,0,0,0,1,2144,0,2006,239338.259435199
85,10437,1,0,0,0,0,3,6,1,0,4,2006,1078,2,1,0,0,0,0,1,2020,0,2007,192883.950998081
59,9000,1,0,0,0,0,5,4,2,0,11,1976,728,2,1,0,0,0,0,1,960,0,2010,95928.5628832217
69.7719596646823,5925,1,0,0,0,0,5,6,1,0,7,1971,912,3,1,0,0,0,0,1,1464,0,2009,162359.190281232
110,6858,1,0,0,0,0,5,6,2,1,6,1900,780,5,1,0,0,0,0,1,928,0,2007,106012.013869824
80,9337,1,0,0,0,0,7,6,1,0,7,1957,697,3,1,0,0,0,0,1,729,0,2009,110416.119373813
69.7719596646823,2665,1,0,0,0,0,5,5,2,0,6,1920,1501,2,1,0,0,0,0,1,1717,0,2007,154496.821864579
36,14803,1,0,0,0,0,6,6,2,0,4,1950,1304,2,1,0,0,0,0,1,1322,0,2009,161275.31404694
118,10264,0,0,0,0,1,9,5,1,1,4,1925,1088,4,1,0,0,0,0,1,1572,0,2009,183019.34425319
69.7719596646823,15611,1,0,0,0,0,8,5,2,1,6,1953,1052,2,1,0,0,0,0,1,1939,0,2008,249609.388094322
86,14215,1,0,0,0,0,8,5,2,0,10,1971,970,3,1,0,0,0,0,1,861,0,2006,230080.556992903
80,7018,1,0,0,0,0,7,7,1,0,8,1950,991,2,1,0,0,0,1,0,861,0,2008,153282.164144566
78,9100,1,0,0,0,0,6,5,1,0,5,1972,1541,1,1,0,0,0,0,1,1526,0,2006,182568.731820683
64,4590,1,0,0,0,0,7,5,2,0,7,2005,0,3,1,0,0,0,0,1,1155,0,2007,177536.741966724
109,10859,1,0,0,0,0,8,5,2,0,7,1920,1024,3,1,0,0,0,1,0,1344,0,2010,172833.10029863
174,11600,1,0,0,0,0,5,3,2,1,6,1950,1520,3,1,0,0,0,0,1,2217,0,2007,196175.982323137
50,5000,1,0,0,0,0,7,5,1,0,9,1964,384,3,1,0,0,0,0,1,1774,0,2006,170609.485791991
69.7719596646823,8402,0,0,1,0,0,5,8,1,0,8,1946,672,3,1,0,0,0,0,1,1128,0,2009,63118.5294543251
70,7500,1,0,0,0,0,7,5,1,0,6,1957,485,3,1,0,0,0,0,1,1590,0,2009,161686.798240512
85,4130,1,0,0,0,0,7,5,3,0,7,1963,1141,3,1,0,0,0,0,1,4316,0,2006,320235.116881748
70,10004,1,0,0,0,0,6,6,1,1,6,1997,0,3,1,0,0,0,0,1,1520,0,2008,164952.900057991
50,12090,1,0,0,0,0,6,7,2,1,9,1993,384,3,1,0,0,0,0,1,1358,0,2006,164085.238037503
75,6120,1,0,0,0,0,7,6,1,0,8,2006,910,2,1,0,0,0,0,1,1726,0,2006,188575.360259619
64,7685,1,0,0,0,0,8,5,1,0,6,2002,1034,4,1,0,0,0,0,1,1800,0,2009,217360.620336564
74,12400,1,0,0,0,0,4,5,1,0,6,1978,1262,3,1,0,0,0,1,0,1839,0,2006,181381.672512415
36,9600,1,0,0,0,0,4,6,1,0,6,1991,1057,3,1,0,0,0,0,1,1796,0,2009,202570.345225878
80,14200,1,0,0,0,0,7,5,2,0,6,1996,1100,3,1,0,0,0,0,1,1362,0,2007,191098.187498819
150,10197,1,0,0,0,0,5,5,2,0,8,1976,988,2,1,0,0,0,0,1,1661,0,2007,144529.282691489
107,159000,1,0,0,0,0,7,7,2,1,8,1977,1176,3,0,1,0,0,0,1,1109,0,2010,179821.512744816
69.7719596646823,19138,1,0,0,0,0,5,5,1,0,6,1980,804,2,1,0,0,0,0,1,912,0,2007,135291.526813453
92,9612,1,0,0,0,0,6,6,1,0,8,1948,796,3,1,0,0,0,0,1,2097,0,2009,173623.081901772
84,8846,1,0,0,0,0,7,7,2,0,7,1972,1276,3,1,0,0,0,1,0,720,0,2006,146683.759800967
85,7200,1,0,0,0,0,4,7,1,0,6,1932,1200,2,1,0,0,0,0,1,1775,0,2008,174639.476297301
24,12493,1,0,0,0,0,8,5,2,1,6,1913,572,2,1,0,0,0,0,1,1792,0,2007,189720.925439831
67,7018,1,0,0,0,0,6,5,1,0,6,2007,1026,2,1,0,0,0,1,0,1109,0,2010,193115.195495955
61,5400,1,0,0,0,0,9,6,1,0,7,2005,1604,3,1,0,0,0,0,1,1768,0,2009,313588.669333861
69.7719596646823,9320,1,0,0,0,0,7,5,2,0,5,1890,868,3,1,0,0,0,0,1,1665,0,2007,136900.508480502
74,12327,1,0,0,0,0,7,5,3,0,11,2006,768,3,1,0,0,0,0,1,1564,0,2006,180158.984439567
80,11616,1,0,0,0,0,5,5,1,0,8,1995,876,2,1,0,0,0,0,1,1590,0,2007,146945.670704411
55,11333,1,0,0,0,0,8,5,2,1,6,1976,1428,3,1,0,0,0,0,1,1110,0,2006,164217.898138502
40,8800,1,0,0,0,0,5,7,2,0,8,1931,1099,2,1,0,0,0,0,1,1224,0,2007,145236.719857814
90,13005,1,0,0,0,0,7,5,1,0,5,1984,952,3,1,0,0,0,0,1,1973,0,2010,197386.069729186
70,9100,1,0,0,0,0,5,5,1,1,5,1962,900,3,1,0,0,0,0,1,912,0,2008,106318.928877634
80,11694,1,0,0,0,0,7,5,1,0,6,1913,794,3,1,0,0,0,0,1,1368,0,2008,111294.950902583
69.7719596646823,4928,1,0,0,0,0,7,7,1,0,7,1966,1293,4,1,0,0,0,0,1,987,0,2006,163211.0849301
33,14601,1,0,0,0,0,7,6,1,0,8,2005,798,3,1,0,0,0,0,1,1350,0,2009,170371.350272233
60,13695,0,0,1,0,0,4,7,1,0,6,1997,1324,3,1,0,0,0,0,1,864,0,2009,155726.40392675
75,9900,1,0,0,0,0,7,5,1,0,5,1954,729,2,1,0,0,0,0,1,1982,0,2009,174058.668289573
40,9830,1,0,0,0,0,10,5,1,1,7,1959,1318,3,1,0,0,0,0,1,894,0,2009,224634.134463727
81,1890,1,0,0,0,0,6,6,2,0,6,1997,1204,2,1,0,0,0,0,1,1200,0,2007,160610.236016598
69.7719596646823,10839,1,0,0,0,0,7,6,1,0,11,1925,728,3,1,0,0,0,0,1,1080,0,2010,164885.303656329
35,9000,0,1,0,0,0,6,7,2,0,7,2004,1389,3,1,0,0,0,0,1,1541,0,2009,181616.614607209
69.7719596646823,9600,0,0,0,1,0,5,6,2,1,6,1936,716,4,1,0,0,0,0,1,2630,0,2009,198956.41114792
43,9120,1,0,0,0,0,7,5,2,1,6,1941,780,3,1,0,0,0,0,1,1230,0,2006,134950.854714343
65,6240,1,0,0,0,0,6,6,1,1,5,1974,672,3,1,0,0,0,0,1,1792,0,2008,154731.721655138
65,10793,1,0,0,0,0,6,5,2,1,10,1900,1437,3,1,0,0,0,0,1,1743,0,2007,143571.044697256
63,10150,1,0,0,0,0,5,5,1,1,7,2005,1419,3,1,0,0,0,0,1,848,0,2009,206518.851092777
50,10500,0,0,0,1,0,7,8,2,0,6,1930,864,2,1,0,0,0,0,1,1382,0,2007,164866.227826132
69.7719596646823,7399,1,0,0,0,0,7,5,2,0,6,2007,1240,2,1,0,0,0,0,1,1601,0,2009,213030.193269467
69.7719596646823,16669,1,0,0,0,0,5,7,2,1,6,1960,1196,1,1,0,0,0,0,1,1073,0,2010,153872.131529932
55,5389,1,0,0,0,0,4,5,2,1,6,1993,1299,3,1,0,0,0,0,1,1432,0,2006,137476.191392786
55,8250,1,0,0,0,0,5,5,2,0,6,1908,1240,3,1,0,0,0,0,1,1680,0,2010,108175.845669207
78,11777,1,0,0,0,0,10,7,1,0,7,1977,1626,2,1,0,0,0,0,1,864,0,2010,260774.402405641
144,10530,1,0,0,0,0,8,7,1,1,6,2003,912,3,1,0,0,0,0,1,968,0,2006,188383.571421291
88,6993,1,0,0,0,0,1,6,1,0,7,1997,1057,3,1,0,0,0,1,0,1458,0,2009,171245.504708627
140,9400,1,0,0,0,0,6,7,2,0,7,1939,1588,3,1,0,0,0,0,1,912,0,2007,183259.736341653
73,8800,0,0,0,0,1,7,5,1,1,6,1939,1176,2,1,0,0,0,0,1,1365,0,2006,132863.570439225
70,1936,1,0,0,0,0,5,5,1,0,4,1953,888,3,1,0,0,0,0,1,902,0,2008,61388.0888014262
55,15593,0,0,0,1,0,6,5,1,1,7,1984,799,2,1,0,0,0,0,1,958,0,2006,147647.488466762
51,11248,1,0,0,0,0,5,7,1,1,7,1915,1926,4,1,0,0,0,0,1,1125,0,2010,166262.994953759
69.7719596646823,9200,1,0,0,0,0,6,5,2,0,7,1936,1004,3,1,0,0,0,0,1,3395,0,2007,182526.929234674
55,4750,1,0,0,0,0,5,5,2,0,6,1924,874,4,1,0,0,0,0,1,1178,0,2006,112604.122149007
69.7719596646823,6270,0,1,0,0,0,5,7,2,0,6,1953,1728,3,1,0,0,0,1,0,1117,0,2009,125590.07099389
98,10500,1,0,0,0,0,5,7,2,1,6,1965,1350,3,1,0,0,0,0,1,924,0,2009,167016.814886483
21,10778,1,0,0,0,0,5,5,2,0,6,2007,0,2,1,0,0,0,0,1,1196,0,2007,133204.291113602
90,21000,1,0,0,0,0,7,5,2,0,5,1957,600,4,1,0,0,0,0,1,1577,0,2008,174619.654371404
80,14364,1,0,0,0,0,5,5,1,1,6,1971,637,2,1,0,0,0,0,1,1032,0,2009,108642.816567797
69.7719596646823,11200,1,0,0,0,0,7,6,2,1,10,1949,794,2,1,0,0,0,0,1,1516,0,2010,182007.160480267
57,17503,1,0,0,0,0,7,6,1,0,7,1999,1144,3,1,0,0,0,0,1,1651,0,2008,192585.969762662
80,8393,1,0,0,0,0,8,5,1,1,4,1976,864,3,1,0,0,0,0,1,2640,0,2006,261849.213958772
78,11050,1,0,0,0,0,7,5,2,1,9,1954,1208,3,1,0,0,0,0,1,752,0,2009,161927.516922894
71,11900,1,0,0,0,0,8,6,1,0,7,2006,864,3,1,0,0,0,0,1,864,0,2009,185308.333044012
69.7719596646823,9600,1,0,0,0,0,8,5,1,0,6,1948,755,3,1,0,0,0,0,1,2138,0,2006,230780.24017442
60,9297,1,0,0,0,0,4,5,2,0,7,1973,547,3,1,0,0,0,0,1,1363,0,2009,132039.13194423
77,9554,1,0,0,0,0,6,5,1,0,5,1974,483,3,1,0,0,0,0,1,882,0,2007,87100.7343278021
86,9760,1,0,0,0,0,7,8,2,0,5,1962,1062,3,1,0,0,0,0,1,1698,0,2007,168480.9168923
76,9786,1,0,0,0,0,6,7,2,0,7,1910,930,3,1,0,0,0,0,1,1336,0,2009,161608.23624259
69.7719596646823,1680,1,0,0,0,0,5,7,1,0,6,1975,1494,3,1,0,0,0,0,1,1216,0,2006,142478.250052013
70,8777,0,0,1,0,0,7,6,2,1,5,1998,264,3,1,0,0,0,0,1,1621,0,2006,133767.965668743
60,12168,1,0,0,0,0,6,8,2,0,5,1988,840,3,1,0,0,0,0,1,1554,0,2009,193267.189932666
75,11751,1,0,0,0,0,6,6,2,0,5,1958,576,3,1,0,0,0,0,1,1962,0,2009,145601.64801975
60,8532,1,0,0,0,0,3,5,1,0,9,1988,918,3,1,0,0,0,0,1,1717,0,2006,136400.1064708
100,50271,1,0,0,0,0,6,7,2,1,6,2009,1498,4,1,0,0,0,0,1,1509,0,2009,238686.337442496
69.7719596646823,8800,1,0,0,0,0,4,7,1,0,8,1957,319,3,1,0,0,0,0,1,825,0,2009,100553.075683843
34,8125,1,0,0,0,0,8,5,2,0,7,2007,1593,3,1,0,0,0,0,1,1224,0,2009,221446.189106602
65,3182,1,0,0,0,0,5,5,2,1,4,1965,720,4,1,0,0,0,0,1,1721,0,2008,138433.077499319
52,9600,1,0,0,0,0,5,5,2,0,6,1920,970,4,1,0,0,0,0,1,2285,0,2009,168856.579321448
75,6120,0,0,0,0,1,5,5,1,0,11,2007,770,2,1,0,0,0,0,1,1593,0,2007,155358.658560007
69.7719596646823,25286,1,0,0,0,0,7,5,1,0,6,1910,1008,2,1,0,0,0,0,1,1494,0,2010,219004.340486367
63,19378,1,0,0,0,0,10,5,2,0,5,1970,1670,2,1,0,0,0,0,1,1954,0,2007,318698.801696631
80,12122,1,0,0,0,0,6,5,1,0,7,2004,1176,2,1,0,0,0,0,1,1223,0,2006,189183.677634791
80,8544,1,0,0,0,0,7,5,1,1,8,1999,894,3,1,0,0,0,0,1,2332,0,2008,233403.182263076
84,13472,1,0,0,0,0,6,8,2,0,6,2006,832,1,1,0,0,0,0,1,1002,0,2008,157723.332060634
40,7301,1,0,0,0,0,4,5,1,0,4,2000,1559,3,1,0,0,0,0,1,981,0,2010,168260.036273269
91,8544,1,0,0,0,0,5,6,2,1,5,2000,1032,2,1,0,0,0,0,1,1121,0,2006,114072.756663045
69.7719596646823,8546,1,0,0,0,0,5,5,1,0,6,1950,1649,3,1,0,0,0,0,1,1406,0,2007,154430.323401115
69.7719596646823,11717,1,0,0,0,0,5,5,1,2,8,2001,1581,3,1,0,0,0,0,1,1181,0,2009,196932.044253527
80,12456,0,0,1,0,0,6,6,1,0,6,1982,794,1,1,0,0,0,1,0,1686,0,2007,102540.459186149
61,14585,1,0,0,0,0,5,5,2,1,6,1935,1158,4,1,0,0,0,0,1,902,0,2007,132345.900204919
84,11645,1,0,0,0,0,5,5,1,0,9,1930,832,3,1,0,0,0,0,1,1688,0,2007,150750.421764161
66,7540,1,0,0,0,0,7,6,2,1,7,1971,0,3,1,0,0,0,0,1,1327,0,2009,125766.254797805
69.7719596646823,9416,1,0,0,0,0,7,7,2,0,10,1950,1814,2,1,0,0,0,0,1,1484,0,2008,221626.179405001
80,7800,0,0,0,1,0,6,5,2,0,9,1976,952,3,1,0,0,0,0,1,1929,0,2007,178967.185670628
65,6563,0,0,1,0,0,6,5,2,0,7,1959,1063,3,1,0,0,0,0,1,902,0,2006,134819.43240471
75,7064,1,0,0,0,0,7,4,1,0,5,1955,698,2,1,0,0,0,1,0,1886,0,2007,123713.83879231
80,12144,1,0,0,0,0,7,5,1,0,7,1995,1078,2,1,0,0,0,1,0,1389,0,2007,184699.504384541
82,11250,1,0,0,0,0,6,5,2,0,4,2003,796,3,1,0,0,0,0,1,1680,0,2006,164685.616182655
69.7719596646823,8500,1,0,0,0,0,7,5,2,0,6,1957,807,2,1,0,0,0,0,1,2008,0,2007,190421.867031025
59,11625,1,0,0,0,0,6,5,2,0,8,1926,1434,3,1,0,0,0,0,1,1358,0,2007,144055.979559586
105,4388,1,0,0,0,0,8,5,2,0,5,1980,1268,3,1,0,0,0,0,1,1121,0,2008,148331.08625693
69.7719596646823,4435,1,0,0,0,0,5,7,3,0,8,2008,819,2,1,0,0,0,0,1,1204,0,2007,172466.127807261
43,11000,1,0,0,0,0,7,5,2,0,5,2003,832,3,1,0,0,0,0,1,1236,0,2009,161083.232830898
100,9920,1,0,0,0,0,7,6,1,0,4,2002,0,2,1,0,0,0,0,1,1959,0,2009,193165.41815837
122,9056,1,0,0,0,0,6,6,1,0,8,1923,738,3,1,0,0,0,0,1,948,0,2009,138292.740509689
69.7719596646823,8777,1,0,0,0,0,7,5,3,0,7,1880,520,3,1,0,0,0,0,1,838,0,2008,92541.2819649834
85,21872,1,0,0,0,0,5,6,1,0,6,1977,894,4,1,0,0,0,0,1,3112,0,2008,199952.507056348
63,9938,1,0,0,0,0,6,5,1,0,7,2003,1461,4,1,0,0,0,0,1,1385,0,2007,228943.655120272
100,8640,1,0,0,0,0,6,5,1,0,7,1946,864,2,1,0,0,0,0,1,2110,0,2007,198811.429572507
43,11341,1,0,0,0,0,7,5,2,0,6,2006,1145,3,1,0,0,0,0,1,1573,0,2006,246306.574329124
